,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,24,14,18,3.8,1.3,1.5,200,0.0,300.0
1,7.26b,24,14,18,3.8,1.3,1.5,200,0.0,300.0
2,7.25,24,14,18,3.8,1.3,1.5,200,0.0,300.0
3,7.23c,24,14,18,3.8,1.3,1.5,200,0.0,300.0
4,7.23,24,14,18,3.8,1.3,1.5,200,0.0,300.0
5,7.22h,24,14,18,3.8,1.3,1.5,200,0.0,300.0
6,7.22g,24,14,18,3.8,1.3,1.5,200,0.0,300.0
7,7.21c,24,14,18,3.8,1.3,1.5,200,0.0,300.0
8,7.21,24,14,18,3.8,1.3,1.5,200,0.0,300.0
9,7.20d,24,14,18,3.3,1.3,1.5,200,0.0,300.0
10,7.20c,24,14,18,3.3,1.3,1.5,200,0.0,295.0
11,7.20,24,14,18,3.3,1.3,1.5,200,0.0,295.0
12,7.16,24,14,18,3.3,1.3,1.5,200,1.5,295.0
13,7.13b,24,14,18,3.3,1.3,1.5,200,1.5,295.0
14,7.10,24,14,18,3.3,1.3,1.5,200,1.5,300.0
15,7.07b,24,14,18,3.3,1.3,1.5,200,1.5,300.0
16,7.07,24,14,18,3.3,1.3,1.5,200,1.5,300.0
17,7.06,24,14,18,3.3,1.3,1.5,200,0.0,300.0
18,7.04,24,14,18,3.0,1.3,1.5,200,0.25,300.0
19,7.03,24,14,18,3.0,1.3,1.5,200,0.25,300.0
20,7.02,24,14,18,3.0,1.3,1.5,200,0.25,300.0
21,7.00,24,14,18,3.0,1.3,1.5,200,0.25,300.0
22,6.88f,24,14,18,3.0,1.3,1.5,200,0.25,300.0
23,6.88e,24,14,18,3.0,1.3,1.5,200,0.25,300.0
24,6.88,24,14,18,3.0,1.3,1.5,200,0.25,300.0
25,6.87,24,14,18,3.0,1.3,1.5,200,0.25,300.0
26,6.86,24,14,18,3.0,1.3,1.5,200,0.25,300.0
27,6.85,24,14,18,3.0,1.3,1.5,200,0.25,300.0
28,6.84,24,14,18,3.0,1.3,1.5,200,0.25,300.0
29,6.83,24,14,18,3.0,1.3,1.5,200,0.25,300.0
30,6.82,24,14,18,3.0,1.3,1.5,200,0.25,300.0
31,6.81,24,14,18,3.0,1.3,1.5,200,0.25,300.0
32,6.79,24,14,18,3.0,1.3,1.5,200,0.25,300.0
33,6.78,24,14,18,3.0,1.3,1.5,200,0.25,300.0
34,6.76,24,14,18,3.0,1.3,1.5,200,0.25,300.0
35,6.75,24,14,18,3.0,1.3,1.5,200,0.25,300.0
36,6.74,24,14,18,3.0,1.3,1.5,200,0.25,300.0
37,6.73,24,14,18,3.0,1.3,1.5,200,0.25,300.0
38,6.72d,24,14,18,2.7,1.3,1.5,200,0.25,300.0
39,6.72c,24,14,18,2.7,1.3,1.5,200,0.25,300.0
40,6.72,24,14,18,2.7,1.3,1.5,200,0.25,300.0
41,6.71,24,14,18,2.7,1.3,1.5,200,0.25,300.0
42,6.67,24,14,18,2.7,1.3,1.5,200,0.25,300.0
43,6.60,24,14,18,2.7,1.3,1.5,200,0.25,300.0
44,6.58,24,14,18,2.7,1.3,1.5,200,0.25,300.0
45,6.57,24,14,18,2.7,1.3,1.5,200,0.25,300.0
46,6.56,24,14,18,2.7,1.3,1.5,200,0.25,300.0
47,6.55b,24,14,18,2.7,1.3,1.5,200,0.25,300.0
48,6.55,24,14,18,2.7,1.3,1.5,200,0.25,300.0
