,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,26,18,20,3.3,1.7,2.2,200,0.0,330.0
1,7.26b,26,18,20,3.3,1.7,2.2,200,0.0,330.0
2,7.25,26,18,20,3.3,1.7,2.2,200,0.0,330.0
3,7.23e,26,18,20,3.3,1.7,2.2,200,0.0,330.0
4,7.23c,26,18,20,3.3,1.7,2.2,200,0.0,330.0
5,7.23,26,18,20,3.3,1.7,2.2,200,0.0,330.0
6,7.22,26,18,20,3.3,1.7,2.2,200,0.0,330.0
7,7.21,26,18,20,3.3,1.7,2.2,200,0.0,330.0
8,7.20,26,18,20,2.9,1.7,2.2,200,0.0,315.0
9,7.18,26,18,20,2.9,1.7,2.2,200,1.5,315.0
10,7.16,26,18,20,2.9,1.7,2.2,200,1.5,315.0
11,7.13b,26,18,20,2.9,1.7,2.2,200,1.5,315.0
12,7.07,26,18,20,2.9,1.7,2.2,200,1.5,320.0
13,7.06e,26,18,20,2.9,1.7,2.2,200,0.0,320.0
14,7.06,26,18,20,2.9,1.7,2.2,200,0.0,320.0
15,7.03,26,18,20,2.6,1.7,2.2,200,0.25,320.0
16,7.02,26,18,20,2.6,1.7,2.2,200,0.25,320.0
17,7.00,26,18,20,2.6,1.7,2.2,200,0.25,320.0
18,6.88b,26,18,20,2.6,1.7,2.2,200,0.25,320.0
19,6.88,26,18,20,2.6,1.7,2.2,200,0.25,320.0
20,6.87,26,18,20,2.6,1.7,2.2,200,0.25,320.0
21,6.86,26,18,20,2.6,1.7,2.2,200,0.25,320.0
22,6.85,26,18,20,2.6,1.7,2.2,200,0.25,320.0
23,6.84,26,18,20,2.6,1.7,2.2,200,0.25,320.0
24,6.82,26,18,20,2.6,1.7,2.2,200,0.25,320.0
25,6.81,26,18,20,2.6,1.7,2.2,200,0.25,320.0
26,6.80,26,18,20,2.6,1.7,2.2,200,0.25,320.0
27,6.79c,26,18,20,2.6,1.7,2.2,200,0.25,320.0
28,6.79,26,18,20,2.6,1.7,2.2,200,0.25,320.0
29,6.78,26,18,20,2.6,1.7,2.2,200,0.25,310.0
30,6.75,26,18,20,2.6,1.7,2.2,200,0.25,310.0
31,6.74,26,18,20,2.6,1.7,2.2,200,0.25,310.0
32,6.73c,26,18,20,2.6,1.7,2.2,200,0.25,310.0
33,6.73b,26,18,20,2.6,1.7,2.2,200,0.25,310.0
34,6.73,26,18,20,2.6,1.7,2.2,200,0.25,310.0
