,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,23,22,2.3,2.8,3.5,200,0.0,325.0
1,7.26b,18,23,22,2.3,2.8,3.5,200,0.0,325.0
2,7.26a,18,23,22,2.3,2.8,3.5,200,0.0,325.0
3,7.25,18,23,22,2.3,2.8,3.5,200,0.0,325.0
4,7.23,18,23,22,2.3,2.3,3.5,200,0.0,325.0
5,7.21d,18,23,22,2.3,2.3,3.5,200,0.0,325.0
6,7.21b,18,23,22,2.3,2.3,3.5,200,0.0,325.0
7,7.21,18,23,22,2.3,1.7,3.5,200,0.0,325.0
8,7.20,18,23,22,2.3,1.7,3.0,200,0.0,330.0
9,7.18,18,23,22,1.8,1.7,3.0,200,1.5,330.0
10,7.17,18,23,22,1.8,1.7,3.0,200,1.5,330.0
11,7.16,18,23,22,1.8,1.7,3.0,200,1.5,330.0
12,7.15,18,23,22,1.8,1.7,3.0,200,1.5,330.0
13,7.14,18,23,22,1.8,1.7,3.0,200,1.5,330.0
14,7.13b,18,23,22,1.8,1.7,3.0,200,1.5,330.0
15,7.12,18,23,22,1.8,1.7,3.0,200,1.5,330.0
16,7.10,18,23,22,1.8,1.7,3.0,200,1.5,325.0
17,7.08,18,23,22,1.8,1.7,3.0,200,1.5,325.0
18,7.07,18,23,22,1.8,1.7,3.0,200,1.5,325.0
19,7.06e,18,23,22,1.8,1.7,3.0,200,0.0,325.0
20,7.06d,18,23,22,1.8,1.7,3.0,200,0.0,325.0
21,7.06,18,23,22,1.8,1.7,3.0,200,0.0,325.0
22,7.03,18,23,22,1.5,1.7,3.0,200,0.25,325.0
23,7.02,18,23,22,1.5,1.7,3.0,200,0.25,325.0
24,7.00,18,23,22,1.5,1.7,3.0,200,0.25,325.0
25,6.88c,18,23,22,1.5,1.7,3.0,200,0.25,325.0
26,6.85,18,23,22,1.5,1.7,3.0,200,0.25,320.0
27,6.84,18,23,22,1.5,1.7,3.0,200,0.25,320.0
28,6.83,18,23,22,1.5,1.7,3.0,200,0.25,315.0
29,6.82,18,23,22,1.5,1.7,3.0,200,0.25,315.0
30,6.81b,18,23,22,1.5,1.7,3.0,200,0.25,315.0
31,6.81,18,23,22,1.5,1.7,3.0,200,0.25,315.0
32,6.80,18,23,22,1.5,1.7,3.0,200,0.25,315.0
33,6.79,18,23,22,1.5,1.7,3.0,200,0.25,315.0
34,6.75,18,23,22,1.5,1.7,3.0,200,0.25,315.0
35,6.73,18,23,22,1.5,1.7,3.0,200,0.25,315.0
36,6.71,18,23,22,1.5,1.7,3.0,200,0.25,310.0
37,6.70,18,23,22,1.5,1.7,3.0,200,0.25,310.0
38,6.69,18,23,22,1.5,1.7,3.0,200,0.25,310.0
39,6.68,18,23,22,1.5,1.7,3.0,200,0.25,310.0
40,6.67,18,23,22,1.5,1.7,3.0,200,0.25,310.0
41,6.65,18,23,22,1.5,1.7,3.0,200,0.25,310.0
42,6.59,18,23,22,1.5,1.7,3.0,200,0.25,300.0
43,6.51,18,23,22,1.5,1.7,3.0,200,0.25,300.0
44,6.50,18,23,22,1.5,1.7,3.0,200,0.25,300.0
45,6.47,18,23,22,1.5,1.7,3.0,200,0.25,300.0
46,6.45,18,23,22,1.5,1.7,3.0,200,0.25,300.0
47,6.42,18,23,22,1.5,1.7,3.0,200,0.25,300.0
48,6.40,18,23,22,1.5,1.7,3.0,200,0.25,300.0
49,6.39,18,23,22,1.5,1.7,3.0,200,0.25,300.0
50,6.36,18,23,22,1.5,1.7,3.0,200,0.25,300.0
51,6.35,18,23,22,1.5,1.7,3.0,200,0.25,300.0
52,6.31,18,23,22,1.5,1.7,3.0,200,0.25,300.0
53,6.29,18,23,22,1.5,1.7,3.0,200,0.25,300.0
54,6.24,18,23,22,1.5,1.7,3.0,200,0.25,300.0
55,6.10,18,23,22,1.5,1.7,3.0,200,0.25,300.0
56,6.09,18,23,22,1.5,1.7,3.0,200,0.25,300.0
57,6.03,18,23,22,1.5,1.7,3.0,200,0.25,300.0
58,6.00,18,23,22,1.5,1.7,3.0,200,0.25,300.0
59,5.78,18,23,22,1.5,1.7,3.0,200,0.25,300.0
60,5.66,18,23,22,1.5,1.5,3.2,200,0.25,300.0
61,5.65,18,23,22,1.5,1.5,3.2,200,0.25,300.0
62,5.58,18,23,22,1.5,1.5,3.2,200,0.25,300.0
63,5.55,18,23,22,1.5,1.5,4.6,200,0.25,300.0
64,5.54,18,23,22,1.5,1.5,4.6,200,0.25,300.0
65,5.51,18,23,22,1.5,1.5,4.6,200,0.25,300.0
66,5.50,18,23,22,1.5,1.5,4.6,200,0.25,300.0
67,5.40,18,23,22,1.5,1.5,4.6,200,0.25,290.0
68,5.36,18,23,22,1.5,1.5,4.6,200,0.25,290.0
69,5.35,18,23,22,1.5,1.5,4.6,200,0.25,290.0
70,5.31,18,23,22,1.5,1.5,4.6,200,0.25,290.0
71,5.10,18,23,22,1.5,1.5,4.6,200,0.25,290.0
72,4.1beta01,18,23,22,1.5,1.5,3.9,200,0.25,290.0
73,4.0beta9,18,23,22,1.5,1.5,3.9,200,0.25,290.0
74,4.0beta7,18,23,22,1.5,1.5,3.9,200,0.25,290.0
75,4.0beta6,18,23,22,1.5,1.5,3.9,200,0.25,290.0
76,4.0beta5,18,23,22,1.5,1.5,3.9,200,0.25,290.0
77,4.0beta2,18,23,22,1.5,1.5,3.9,200,0.25,290.0
