,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,20,23,30,2.4,1.8,3.7,200,0.0,290.0
1,7.26b,20,23,30,2.4,1.8,3.7,200,0.0,290.0
2,7.25,20,23,30,2.4,1.8,3.7,200,0.0,290.0
3,7.23d,20,23,30,2.4,1.8,3.7,200,0.0,290.0
4,7.23,20,23,30,2.4,1.8,3.7,200,0.0,290.0
5,7.22,20,23,30,2.2,1.8,3.7,200,0.0,290.0
6,7.21d,20,23,30,2.0,1.8,3.7,200,0.0,290.0
7,7.21c,20,23,30,2.0,1.8,3.7,200,0.0,290.0
8,7.21b,20,23,30,2.0,1.8,3.7,200,0.0,290.0
9,7.21,20,23,30,2.0,1.8,3.7,200,0.0,290.0
10,7.20e,20,23,30,2.0,1.8,3.2,200,0.0,295.0
11,7.20c,20,23,30,2.0,1.8,3.2,200,0.0,295.0
12,7.20,20,23,30,2.0,1.8,3.2,200,0.0,295.0
13,7.15,20,23,30,1.8,1.8,3.2,200,1.5,295.0
14,7.13b,20,23,30,1.8,1.8,3.2,200,1.5,295.0
15,7.10,20,23,30,1.8,1.8,3.2,200,1.5,295.0
16,7.08,20,23,30,1.8,1.8,3.2,200,1.5,295.0
17,7.07,20,23,30,1.8,1.8,3.2,200,1.5,295.0
18,7.06e,20,23,30,1.8,1.8,3.2,200,0.0,295.0
19,7.06,20,23,30,1.8,1.8,3.2,200,0.0,295.0
20,7.05,20,23,30,1.5,1.8,3.2,200,0.25,295.0
21,7.03,20,23,30,1.5,1.8,3.2,200,0.25,295.0
22,7.02,20,23,30,1.5,1.8,3.2,200,0.25,295.0
23,7.01,20,23,30,1.5,1.8,3.2,200,0.25,295.0
24,7.00,20,23,30,1.5,1.8,3.2,200,0.25,295.0
25,6.88c,20,23,30,1.5,1.8,3.2,200,0.25,295.0
26,6.88,20,23,30,1.5,1.8,3.2,200,0.25,295.0
27,6.85,20,23,30,1.5,1.8,3.2,200,0.25,295.0
28,6.84,20,23,30,1.5,1.8,3.2,200,0.25,295.0
29,6.83,20,23,30,1.5,1.8,3.2,200,0.25,295.0
30,6.82,20,23,30,1.5,1.8,3.2,200,0.25,295.0
31,6.81b,20,23,30,1.5,1.8,3.2,200,0.25,295.0
32,6.81,20,23,30,1.5,1.8,3.2,200,0.25,295.0
33,6.80,20,23,30,1.5,1.8,3.2,200,0.25,295.0
34,6.79,20,23,30,1.5,1.8,3.2,200,0.25,295.0
35,6.78,20,23,30,1.5,1.8,3.2,200,0.25,295.0
36,6.76,20,23,30,1.5,1.8,3.2,200,0.25,295.0
37,6.75,20,23,30,1.5,1.8,3.2,200,0.25,295.0
38,6.74,20,23,30,1.5,1.8,3.2,200,0.25,295.0
39,6.73,20,23,30,1.5,1.8,3.2,200,0.25,295.0
40,6.72d,20,23,30,1.5,1.8,3.2,200,0.25,295.0
41,6.72,20,23,30,1.5,1.8,3.2,200,0.25,295.0
42,6.71,20,23,30,1.5,1.8,3.2,200,0.25,295.0
43,6.69,20,23,30,1.5,1.8,3.2,200,0.25,295.0
44,6.68,20,23,30,1.5,1.8,3.2,200,0.25,295.0
45,6.67,20,23,30,1.5,1.8,3.2,200,0.25,295.0
46,6.65,20,23,30,1.5,1.8,3.2,200,0.25,295.0
47,6.63,20,23,30,1.5,1.8,3.2,200,0.25,295.0
48,6.60,20,23,30,1.5,1.8,3.2,200,0.25,295.0
49,6.50,20,23,30,1.5,1.8,3.2,200,0.25,295.0
50,6.32,20,23,30,1.5,1.8,3.2,200,0.25,300.0
51,6.28,20,23,30,1.5,1.8,3.2,200,0.25,290.0
52,6.00,20,23,30,1.5,1.8,3.2,200,0.25,280.0
53,5.74,20,23,30,1.5,1.8,3.2,200,0.25,280.0
54,5.72,20,23,30,1.5,1.8,3.2,200,0.25,280.0
55,5.58,20,23,30,1.5,1.8,3.2,200,0.25,280.0
56,5.57,20,23,30,1.5,1.8,3.2,200,0.25,280.0
57,5.55,20,23,30,1.5,1.8,3.2,200,0.25,280.0
58,5.50,20,23,30,1.5,1.8,3.2,200,0.25,280.0
59,5.40,20,23,30,1.5,1.8,3.2,200,0.25,280.0
60,5.32,20,23,30,1.5,1.8,3.2,200,0.25,280.0
61,5.31,20,23,30,1.5,1.8,3.2,200,0.25,280.0
62,4.0beta10,20,23,30,1.5,1.8,3.2,200,0.25,280.0
63,4.0beta6,20,23,30,1.5,1.8,3.2,200,0.25,280.0
64,4.0beta5,20,23,30,1.5,1.8,3.2,200,0.25,280.0
65,4.00,20,23,30,1.5,1.8,3.2,200,0.25,280.0
66,3.2j,20,23,30,1.5,1.8,3.2,200,0.25,280.0
67,3.0d,20,23,30,1.5,1.8,3.2,200,0.25,280.0
68,2.60,20,23,30,1.5,1.8,3.2,200,0.25,280.0
69,0.60,20,23,30,1.5,1.8,3.2,200,0.25,280.0
