,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,15,18,2.2,1.5,3.5,200,0.0,140.0
1,7.26b,18,15,18,2.2,1.5,3.5,200,0.0,140.0
2,7.24,18,15,18,2.2,1.5,3.5,200,0.0,140.0
3,7.23,18,15,18,2.2,1.5,3.5,200,0.0,140.0
4,7.22,18,15,18,2.2,1.5,3.5,200,0.0,140.0
5,7.21,18,15,18,2.2,1.5,3.5,200,0.0,140.0
6,7.20,18,15,18,2.2,1.5,3.0,200,0.0,140.0
7,7.15,18,15,18,2.0,1.5,3.0,200,1.5,140.0
8,7.13b,18,15,18,2.0,1.5,3.0,200,1.5,140.0
9,7.12,18,15,18,2.0,1.5,3.0,200,1.5,140.0
10,7.10,18,15,18,2.0,1.5,3.0,200,1.5,140.0
11,7.08,18,15,18,2.0,1.5,3.0,200,1.5,140.0
12,7.07,18,15,18,2.0,1.5,3.0,200,1.5,140.0
13,7.06f,18,15,18,2.0,1.5,3.0,200,0.0,140.0
14,7.06,18,15,18,2.0,1.5,3.0,200,0.0,140.0
15,7.03,18,15,18,1.7,1.5,3.0,200,0.25,140.0
16,7.02,18,15,18,1.7,1.5,3.0,200,0.25,140.0
17,7.00,18,15,18,1.7,1.5,3.0,200,0.25,140.0
18,6.87d,18,15,18,1.7,1.5,3.0,200,0.25,140.0
19,6.86,18,15,18,1.7,1.5,3.0,200,0.25,140.0
20,6.85,18,15,18,1.7,1.5,3.0,200,0.25,140.0
21,6.84,18,15,18,1.7,1.5,3.0,200,0.25,140.0
22,6.83c,18,15,18,1.7,1.5,3.0,200,0.25,140.0
23,6.83,18,15,18,1.7,1.5,3.0,200,0.25,290.0
24,6.82,18,15,18,1.7,1.5,3.0,200,0.25,290.0
25,6.81,18,15,18,1.7,1.5,3.0,200,0.25,290.0
26,6.80,18,15,18,1.7,1.5,3.0,200,0.25,290.0
27,6.79,18,15,18,1.7,1.5,3.0,200,0.25,290.0
28,6.78,18,15,18,1.7,1.5,3.0,200,0.25,290.0
29,6.76,18,15,18,1.7,1.5,3.0,200,0.25,290.0
30,6.75,18,15,18,1.7,1.5,3.0,200,0.25,290.0
31,6.74,18,15,18,1.7,1.5,3.0,200,0.25,290.0
32,6.73,18,15,18,1.7,1.5,3.0,200,0.25,290.0
33,6.71,18,15,18,1.7,1.5,3.0,200,0.25,290.0
34,6.60,18,15,18,1.7,1.5,3.0,200,0.25,290.0
35,6.59,18,15,18,1.7,1.5,3.0,200,0.25,290.0
36,6.51,18,15,18,1.7,1.5,3.0,200,0.25,290.0
37,6.50,18,15,18,1.7,1.5,3.0,200,0.25,290.0
38,6.49,18,15,18,1.7,1.5,3.0,200,0.25,290.0
39,6.48,18,15,18,1.7,1.5,3.0,200,0.25,290.0
40,6.41,18,15,18,1.7,1.5,3.0,200,0.25,280.0
41,6.20,18,15,18,1.7,1.5,3.0,200,0.25,280.0
42,6.17,18,15,18,1.7,1.5,3.0,200,0.25,280.0
43,6.10,18,15,18,1.7,1.5,3.0,200,0.25,280.0
44,6.00,18,15,18,1.7,1.5,3.0,200,0.25,280.0
45,5.72,18,15,18,1.7,1.5,3.0,200,0.25,280.0
46,5.58,18,15,18,1.7,1.5,3.0,200,0.25,280.0
47,5.55,18,15,18,1.6,1.5,3.0,200,0.25,280.0
48,5.54,18,15,18,1.6,1.5,3.0,200,0.25,280.0
49,5.50,18,15,18,1.6,1.5,3.0,200,0.25,280.0
50,5.40,18,15,18,1.6,1.5,3.0,200,0.25,280.0
51,5.35,18,15,18,1.6,1.5,3.0,200,0.25,280.0
52,5.32,18,15,18,1.6,1.5,3.0,200,0.25,280.0
53,5.31,18,15,18,1.6,1.5,3.0,200,0.25,280.0
54,5.10,18,15,18,1.6,1.5,3.0,200,0.25,280.0
55,4.1beta01,18,15,18,1.6,1.5,3.0,200,0.25,280.0
56,4.0beta9,18,15,18,1.6,1.5,3.0,200,0.25,280.0
57,4.0beta6,18,15,18,1.6,1.5,3.0,200,0.25,280.0
58,4.0beta5,18,15,18,1.6,1.5,3.0,200,0.25,280.0
59,4.0beta2,18,15,18,1.6,1.5,3.0,200,0.25,280.0
60,3.2j,18,15,18,1.6,1.5,3.0,200,0.25,280.0
61,3.00a,18,15,18,1.6,1.5,3.0,200,0.25,280.0
62,2.60,18,15,18,1.6,1.5,3.0,200,0.25,280.0
63,0.96b,18,15,18,1.6,1.5,3.0,200,0.25,300.0
64,0.60,18,15,18,1.6,1.5,3.0,200,0.25,300.0
