,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,26,16,23,3.4,1.0,1.4,200,0.0,305.0
1,7.26b,26,16,23,3.4,1.0,1.4,200,0.0,315.0
2,7.25c,26,16,23,3.4,1.0,1.4,200,0.0,315.0
3,7.25b,26,16,23,3.4,1.0,1.4,200,0.0,315.0
4,7.25,26,16,23,3.4,1.0,1.4,200,0.0,315.0
5,7.24,26,16,23,3.4,1.0,1.4,200,0.0,315.0
6,7.23,26,16,23,3.4,1.0,1.4,200,0.0,315.0
7,7.22g,26,16,23,3.4,1.0,1.4,200,0.0,315.0
8,7.22f,26,16,23,3.4,1.0,1.4,200,0.0,315.0
9,7.22e,26,16,23,3.4,1.0,1.4,200,0.0,315.0
10,7.22b,26,16,23,3.4,1.0,1.4,200,0.0,315.0
11,7.22,26,16,23,3.4,1.0,1.4,200,0.0,315.0
12,7.21c,26,16,23,3.4,1.0,1.4,200,0.0,315.0
13,7.21b,26,16,23,3.8,1.0,1.4,200,0.0,315.0
14,7.21,26,16,23,3.8,1.0,1.4,200,0.0,315.0
15,7.20c,26,16,23,3.3,1.0,1.4,200,0.0,300.0
16,7.20,26,16,23,3.3,1.0,1.4,200,0.0,300.0
17,7.18,26,16,23,3.3,1.0,1.4,200,1.5,300.0
18,7.17,26,16,23,3.3,1.0,1.4,200,1.5,300.0
19,7.16,26,16,23,3.3,1.0,1.4,200,1.5,300.0
20,7.14,26,16,23,3.3,1.0,1.55,200,1.5,300.0
21,7.13b,26,16,23,3.3,1.0,1.55,200,1.5,300.0
22,7.10,26,16,23,3.3,1.0,1.55,200,1.5,650.0
23,7.08,26,16,23,3.3,1.0,1.55,200,1.5,650.0
24,7.07,26,16,23,3.3,1.0,1.55,200,1.5,650.0
25,7.06f,26,16,23,3.3,1.0,1.55,200,0.0,650.0
26,7.06e,26,16,23,3.3,1.0,1.55,200,0.0,650.0
27,7.06,26,16,23,3.3,1.0,1.55,200,0.0,650.0
28,7.05,26,16,23,3.0,1.0,1.55,200,0.25,650.0
29,7.04,26,16,23,3.0,1.0,1.55,200,0.25,650.0
30,7.03,26,16,23,3.0,1.0,1.55,200,0.25,650.0
31,7.02,26,16,23,3.0,1.0,1.55,200,0.25,650.0
32,7.01,26,16,23,3.0,1.5,1.55,200,0.25,650.0
33,7.00,26,16,23,3.0,1.9,1.55,200,0.25,650.0
34,6.87,26,16,23,3.0,1.9,1.55,200,0.25,650.0
35,6.86,26,16,23,3.0,1.9,1.55,200,0.25,650.0
36,6.85,26,16,23,3.0,1.9,1.55,200,0.25,650.0
37,6.82,26,16,23,2.75,1.9,1.55,200,0.25,650.0
38,6.81b,26,16,23,2.75,1.9,1.55,200,0.25,305.0
39,6.81,26,16,23,2.75,1.9,1.55,200,0.25,305.0
40,6.80,26,16,23,2.75,1.9,1.55,200,0.25,305.0
41,6.79,26,16,23,2.75,1.9,1.55,200,0.25,305.0
42,6.78,26,16,23,2.75,1.9,1.55,200,0.25,305.0
43,6.77,26,16,23,2.75,1.9,1.55,200,0.25,305.0
44,6.75,26,16,23,2.75,1.9,1.55,200,0.25,305.0
45,6.72d,26,16,23,2.75,1.9,1.55,200,0.25,305.0
46,6.72c,26,16,23,2.75,1.9,1.55,200,0.25,305.0
47,6.72,26,16,23,2.75,1.9,1.55,200,0.25,305.0
48,6.71,26,16,23,2.75,1.9,1.55,200,0.25,305.0
49,6.70,26,16,23,2.75,1.9,1.55,200,0.25,305.0
50,6.69,26,16,23,2.75,1.9,1.55,200,0.25,305.0
51,6.67,26,16,23,2.75,1.9,1.55,200,0.25,305.0
52,6.57,26,16,23,2.75,1.9,1.55,200,0.25,305.0
53,6.54,26,16,23,2.75,1.9,1.55,200,0.25,305.0
54,6.53,26,16,23,2.75,1.9,1.55,200,0.25,305.0
55,6.52b,26,16,23,2.75,1.9,1.55,200,0.25,380.0
56,6.51,26,16,23,2.75,1.9,1.55,200,0.25,380.0
57,6.50,26,16,23,2.75,1.9,1.55,200,0.25,380.0
58,6.48b,26,16,23,2.75,1.9,1.55,200,0.25,380.0
59,6.35,26,16,23,2.75,1.9,1.55,200,0.25,380.0
60,6.28,26,16,23,2.75,1.9,1.55,200,0.25,380.0
61,6.20,26,16,23,2.75,1.9,1.55,200,0.25,380.0
62,6.19b,26,16,23,2.75,1.9,1.55,200,0.25,380.0
63,6.04,26,16,23,2.75,1.9,1.55,200,0.25,380.0
64,5.80,26,16,23,2.75,1.9,1.55,200,0.25,380.0
65,5.75,26,16,23,2.75,1.9,1.55,200,0.25,345.0
66,5.74,26,16,23,2.75,1.9,1.55,200,0.25,330.0
67,5.71,26,16,23,2.75,1.9,1.55,200,0.25,330.0
68,5.62,26,16,23,2.75,1.9,1.55,200,0.25,320.0
69,5.61,26,16,23,2.75,1.9,1.55,200,0.25,320.0
70,5.59,26,16,23,2.75,1.9,1.55,200,0.25,320.0
71,5.58,26,16,23,2.75,1.9,1.55,200,0.25,320.0
72,5.55,26,16,23,2.85,2.0,1.75,200,0.25,320.0
73,5.53,26,16,23,2.85,2.0,1.75,200,0.25,320.0
74,5.50,26,16,23,2.85,2.0,1.75,200,0.25,320.0
75,5.40,26,16,23,3.0,2.1,1.7,200,0.25,320.0
76,5.35,26,16,23,3.0,2.1,1.7,200,0.25,320.0
77,5.31,26,16,23,3.0,2.1,1.7,200,0.25,320.0
78,5.10,26,16,23,3.0,2.1,1.7,200,0.25,320.0
79,4.0beta9,26,16,23,3.0,2.1,1.7,200,0.25,320.0
80,4.0beta6,26,16,23,3.0,2.1,1.7,200,0.25,320.0
81,4.0beta5,26,16,23,2.5,2.7,1.7,200,0.25,320.0
82,4.0beta2,26,16,23,2.5,2.7,1.7,200,0.25,320.0
83,3.2j,26,16,23,2.5,2.7,1.7,200,0.25,320.0
84,3.2a,26,16,23,2.5,2.7,1.7,200,0.25,320.0
85,3.00a,26,16,23,2.5,2.7,1.7,200,0.25,320.0
86,2.60,26,16,23,2.5,2.7,1.7,200,0.25,315.0
