,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,25,15,19,3.5,2.5,1.7,200,0.5,305.0
1,7.26b,25,15,19,3.5,2.5,1.7,200,0.5,305.0
2,7.25,25,15,19,3.5,2.5,1.7,200,0.5,305.0
3,7.24,25,15,19,3.5,2.5,1.7,200,0.5,305.0
4,7.23c,25,15,19,3.5,2.5,1.7,200,0.5,305.0
5,7.23,25,15,19,3.5,2.5,1.7,200,0.5,305.0
6,7.22,25,15,19,3.5,2.5,1.7,200,0.5,305.0
7,7.21b,25,15,19,3.5,2.5,1.7,200,0.5,305.0
8,7.21,25,15,19,3.7,2.5,1.7,200,0.5,305.0
9,7.20e,25,15,19,3.2,2.5,1.7,200,0.5,305.0
10,7.20d,25,15,19,3.2,2.5,1.7,200,0.5,305.0
11,7.20,25,15,19,3.2,2.5,1.7,200,0.5,305.0
12,7.17,25,15,19,3.2,2.5,1.65,200,2.0,305.0
13,7.16,25,15,19,3.2,2.5,1.65,200,2.0,305.0
14,7.13b,25,15,19,3.2,2.5,1.65,200,2.0,305.0
15,7.12,25,15,19,3.2,2.5,1.65,200,2.0,310.0
16,7.10,25,15,19,3.2,2.5,1.65,200,2.0,310.0
17,7.07,25,15,19,3.2,2.5,1.65,200,2.0,310.0
18,7.06,25,15,19,3.2,2.5,1.65,200,0.5,310.0
19,7.05,25,15,19,2.9,2.5,1.65,200,0.75,315.0
20,7.04,25,15,19,2.9,2.5,1.65,200,0.75,315.0
21,7.02,25,15,19,2.9,2.5,1.65,200,0.75,315.0
22,7.00,25,15,19,2.9,2.5,1.65,200,0.75,315.0
23,6.88b,25,15,19,2.9,2.5,1.65,200,0.75,315.0
24,6.88,25,15,19,2.9,2.5,1.65,200,0.75,315.0
25,6.87,25,15,19,2.75,2.5,1.65,200,0.75,315.0
26,6.86,25,15,19,2.75,2.5,1.65,200,0.25,315.0
27,6.85,25,15,19,2.75,2.5,1.65,200,0.25,315.0
28,6.83,25,15,19,2.75,2.5,1.65,200,0.25,315.0
29,6.82,25,15,19,2.75,2.5,1.65,200,0.25,315.0
30,6.81,25,15,19,2.75,2.5,1.65,200,0.25,315.0
31,6.80,25,15,19,2.75,2.5,1.65,200,0.25,315.0
32,6.79,25,15,19,2.75,2.5,1.65,200,0.25,315.0
33,6.78,25,15,19,2.75,2.5,1.65,200,0.25,315.0
34,6.77,25,15,19,2.75,2.5,1.65,200,0.25,315.0
35,6.76,25,15,19,2.75,2.5,1.65,200,0.25,315.0
36,6.75,25,15,19,2.75,2.5,1.65,200,0.25,315.0
37,6.74,25,15,19,2.75,1.8,1.65,200,0.25,315.0
38,6.73,25,15,19,2.75,1.8,1.65,200,0.25,315.0
39,6.72d,25,15,19,2.75,1.8,1.65,200,0.25,315.0
40,6.72c,25,15,19,2.75,1.8,1.65,200,0.25,315.0
41,6.72,25,15,19,2.75,1.8,1.65,200,0.25,315.0
42,6.71,25,15,19,2.75,1.8,1.65,200,0.25,315.0
43,6.69,25,15,19,2.75,1.8,1.65,200,0.25,315.0
44,6.67,25,15,19,2.75,1.8,1.65,200,0.25,315.0
45,6.63,25,15,19,2.75,1.8,1.65,200,0.25,315.0
46,6.61,25,15,19,2.75,1.8,1.65,200,0.25,315.0
47,6.60,25,15,19,2.75,1.8,1.65,200,0.25,315.0
48,6.52,25,15,19,2.75,1.8,1.65,200,0.25,315.0
49,6.50,25,15,19,2.75,1.8,1.65,200,0.25,315.0
50,6.48b,25,15,19,2.75,1.8,1.65,200,0.25,315.0
51,6.44b,25,15,19,2.75,1.8,1.65,200,0.25,315.0
52,6.44,25,15,19,2.75,1.8,1.65,200,0.25,315.0
53,6.42,25,15,19,2.75,1.8,1.65,200,0.25,315.0
54,6.40,25,15,19,2.75,1.8,1.65,200,0.25,315.0
55,6.38,25,15,19,2.75,1.8,1.65,200,0.25,315.0
56,6.35,25,15,19,2.75,1.8,1.65,200,0.25,315.0
57,6.29b,25,15,19,2.75,1.8,1.65,200,0.25,315.0
58,6.20,25,15,19,2.75,1.8,1.65,200,0.25,315.0
59,6.10,25,15,19,2.75,1.8,1.65,200,0.25,315.0
60,6.04,25,15,19,2.75,1.8,1.65,200,0.25,315.0
61,6.00,25,15,19,2.75,1.8,1.65,200,0.25,315.0
62,5.84,25,15,19,2.75,1.8,1.65,200,0.25,315.0
63,5.80,25,15,19,2.75,1.8,1.65,200,0.25,315.0
64,5.78,25,15,19,2.75,1.8,1.65,200,0.25,315.0
