,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,18,22,2.2,3.7,1.7,200,0.0,290.0
1,7.26b,18,18,22,2.2,3.7,1.7,200,0.0,290.0
2,7.25,18,18,22,2.2,3.7,1.7,200,0.0,290.0
3,7.23,18,18,22,2.2,3.7,1.7,200,0.0,290.0
4,7.22h,18,18,22,2.2,3.7,1.7,200,0.0,290.0
5,7.22g,18,18,22,2.2,3.7,1.7,200,0.0,290.0
6,7.22e,18,18,22,2.2,3.7,1.7,200,0.0,290.0
7,7.22d,18,18,22,2.2,3.7,1.7,200,0.0,290.0
8,7.22c,18,18,22,2.2,3.7,1.7,200,0.0,290.0
9,7.22,18,18,22,2.2,3.7,1.7,200,0.0,290.0
10,7.21c,18,18,22,2.2,3.7,1.7,200,0.0,290.0
11,7.21,18,18,22,2.2,3.7,1.7,200,0.0,290.0
12,7.20,18,18,22,2.2,3.6,1.7,200,0.0,295.0
13,7.19b,18,18,22,2.15,3.6,1.65,200,1.5,295.0
14,7.18,18,18,22,2.15,3.6,1.65,200,1.5,295.0
15,7.17,18,18,22,2.15,3.6,1.65,200,1.5,295.0
16,7.16,18,18,22,2.15,3.6,1.65,200,1.5,295.0
17,7.15,18,18,22,2.15,3.6,1.65,200,1.5,295.0
18,7.14,18,18,22,2.15,3.6,1.65,200,1.5,295.0
19,7.12,18,18,22,2.15,3.6,1.65,200,1.5,295.0
20,7.10,18,18,22,2.15,3.6,1.65,200,1.5,295.0
21,7.07b,18,18,22,2.15,3.6,1.65,200,1.5,295.0
22,7.07,18,18,22,2.15,3.6,1.65,200,1.5,295.0
23,7.06d,18,18,22,2.15,3.6,1.65,200,0.0,300.0
24,7.06c,18,18,22,2.15,3.3,1.65,200,0.0,300.0
25,7.06,18,18,22,2.15,3.3,1.65,200,0.0,300.0
26,7.02,18,18,22,1.85,3.3,1.65,200,0.25,300.0
27,7.00,18,18,22,1.85,3.3,1.65,200,0.25,300.0
28,6.88f,18,18,22,1.85,3.3,1.65,200,0.25,300.0
29,6.88e,18,18,22,1.85,3.3,1.65,200,0.25,300.0
30,6.88c,18,18,22,1.85,3.3,1.65,200,0.25,300.0
31,6.87,18,18,22,1.85,3.3,1.65,200,0.25,300.0
32,6.86,18,18,22,1.85,3.3,1.65,200,0.25,300.0
33,6.85,18,18,22,1.85,3.3,1.65,200,0.25,300.0
34,6.84,18,18,22,1.85,2.75,1.65,200,0.25,300.0
35,6.82,18,18,22,1.85,2.75,1.65,200,0.25,300.0
36,6.81b,18,18,22,1.85,2.75,1.65,200,0.25,300.0
37,6.81,18,18,22,1.85,2.75,1.65,200,0.25,300.0
38,6.79,18,18,22,1.85,2.75,1.65,200,0.25,300.0
39,6.78,18,18,22,1.85,2.75,1.65,200,0.25,300.0
40,6.77,18,18,22,1.85,2.75,1.65,200,0.25,300.0
41,6.76,18,18,22,1.85,2.75,1.65,200,0.25,300.0
42,6.75,18,18,22,1.85,2.75,1.65,200,0.25,300.0
43,6.74,18,18,22,1.85,2.75,1.65,200,0.25,300.0
44,6.73,18,18,22,1.85,2.75,1.65,200,0.25,300.0
45,6.69,18,18,22,1.85,2.75,1.65,200,0.25,300.0
46,6.68,18,18,22,1.85,2.75,1.65,200,0.25,300.0
47,6.66,18,18,22,1.85,2.75,1.65,200,0.25,300.0
48,6.65,18,18,22,1.85,2.75,1.65,200,0.25,300.0
49,6.63,18,18,22,1.85,2.75,1.65,200,0.25,300.0
50,6.50,18,18,22,1.85,2.75,1.65,200,0.25,300.0
51,6.49,18,18,22,1.85,2.75,1.65,200,0.25,300.0
52,6.42,18,18,22,1.85,2.75,1.65,200,0.25,300.0
53,6.38,18,18,22,1.85,2.75,1.65,200,0.25,300.0
