,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,22,24,15,3.0,4.3,1.1,200,0.0,280.0
1,7.23b,22,24,15,3.0,4.3,1.1,200,0.0,280.0
2,7.23a,22,24,15,3.0,4.3,1.1,200,0.0,280.0
3,7.23,22,24,15,3.0,4.3,1.1,200,0.0,280.0
4,7.22f,22,24,15,3.0,4.3,1.1,200,0.0,280.0
5,7.22e,22,24,15,3.0,4.3,1.1,200,0.0,280.0
6,7.22d,22,24,15,3.0,4.3,1.1,200,0.0,280.0
7,7.22c,22,24,15,3.0,4.3,1.1,200,0.0,280.0
8,7.22,22,24,15,3.0,4.3,1.1,200,0.0,280.0
9,7.21c,22,24,15,3.0,4.3,1.1,200,0.0,280.0
10,7.21,22,24,15,2.6,4.3,1.1,200,0.0,280.0
11,7.20,22,24,15,2.3,3.7,1.1,200,0.0,280.0
12,7.18,22,24,15,2.3,3.7,1.1,200,1.5,280.0
13,7.16,22,24,15,2.3,3.7,1.1,200,1.5,280.0
14,7.15,22,24,15,2.3,3.7,1.1,200,1.5,280.0
15,7.14,22,24,15,2.3,3.7,1.1,200,1.5,280.0
16,7.10,22,24,15,2.3,3.7,1.1,200,1.5,280.0
17,7.08,22,24,15,2.3,3.7,1.1,200,1.5,280.0
18,7.07d,22,24,15,2.3,3.7,1.1,200,1.5,280.0
19,7.07c,22,24,15,2.3,3.7,1.1,200,1.5,280.0
20,7.07b,22,24,15,2.3,3.7,1.1,200,1.5,280.0
21,7.07,22,24,15,2.3,3.7,1.1,200,1.5,280.0
22,7.06e,22,24,15,2.3,3.7,1.1,200,0.0,285.0
23,7.06d,22,24,15,2.3,3.7,1.1,200,0.0,285.0
24,7.06,22,24,15,2.3,3.7,1.1,200,0.0,285.0
25,7.02,22,24,15,2.0,3.7,1.1,200,0.25,285.0
26,7.00,22,24,15,2.0,3.7,1.1,200,0.25,285.0
27,6.88f,22,24,15,2.0,3.7,1.1,200,0.25,285.0
28,6.88e,22,24,15,2.0,3.7,1.1,200,0.25,285.0
29,6.88,22,24,15,2.0,3.7,1.5,200,0.25,285.0
