,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,18,19,18,2.5,2.5,2.1,200,2.5,315.0
1,7.24b,18,19,18,2.5,2.5,2.1,200,2.5,315.0
2,7.24,18,19,18,2.5,2.5,2.1,200,2.5,315.0
3,7.23,18,19,18,2.5,2.5,2.1,200,2.5,315.0
4,7.22c,18,19,18,2.5,2.5,2.1,200,2.5,305.0
5,7.22,18,19,18,2.5,2.5,2.1,200,3.25,305.0
6,7.21,18,19,18,2.5,2.5,2.1,200,3.25,305.0
7,7.20d,18,19,18,2.3,2.5,2.1,200,3.25,300.0
8,7.20,18,19,18,2.3,2.5,2.1,200,3.25,295.0
9,7.18,18,19,18,2.3,2.5,2.1,200,4.75,295.0
10,7.15,18,19,18,2.3,2.5,2.1,200,4.75,295.0
11,7.07,18,19,18,2.3,2.5,2.1,200,4.75,295.0
12,7.06f,18,19,18,2.3,2.5,2.1,200,3.25,300.0
13,7.06e,18,19,18,2.3,2.5,2.1,200,3.25,300.0
14,7.06c,18,19,18,2.3,2.5,2.1,200,3.25,305.0
15,7.06,18,19,18,2.3,2.5,2.1,200,3.25,305.0
16,7.03,18,19,18,1.6,2.5,2.1,200,3.5,305.0
17,7.02,18,19,18,1.6,2.5,2.1,200,3.5,305.0
18,7.00,18,19,18,1.6,2.5,2.1,200,3.5,305.0
19,6.88f,18,19,18,1.6,2.5,2.1,200,3.5,305.0
20,6.88,18,19,18,1.6,2.5,2.1,200,3.5,305.0
21,6.87,18,19,18,1.6,2.5,2.1,200,3.5,300.0
22,6.86,18,19,18,1.6,2.5,2.1,200,2.5,300.0
23,6.85,18,19,18,1.6,2.5,2.1,200,2.5,300.0
24,6.84,18,19,18,1.6,2.5,2.1,200,2.5,300.0
25,6.81,18,19,18,1.6,2.5,2.1,200,2.5,300.0
26,6.80,18,19,18,1.6,2.5,2.1,200,2.5,300.0
27,6.79,18,19,18,1.6,2.5,2.1,200,2.5,300.0
28,6.78,18,19,18,1.6,2.5,2.1,200,2.5,300.0
29,6.77c,18,19,18,1.6,2.5,2.1,200,2.5,300.0
30,6.76,18,19,18,1.6,2.5,2.1,200,2.5,300.0
31,6.75,18,19,18,1.6,2.5,2.1,200,2.5,300.0
32,6.74,18,19,18,1.6,2.5,2.1,200,0.25,300.0
33,6.73,18,19,18,1.6,2.5,2.1,200,0.25,300.0
34,6.72d,18,19,18,1.6,2.5,2.1,200,0.25,300.0
35,6.72c,18,19,18,1.6,2.5,2.1,200,0.25,300.0
36,6.72,18,19,18,1.6,2.5,2.1,200,0.25,300.0
37,6.71,18,19,18,1.6,2.5,2.1,200,0.25,300.0
38,6.67,18,19,18,1.6,2.5,2.1,200,0.25,300.0
39,6.64,18,19,18,1.6,2.5,2.1,200,0.25,300.0
40,6.63,18,19,18,1.6,2.5,2.1,200,0.25,300.0
41,6.60,18,19,18,1.6,2.5,2.1,200,0.25,300.0
42,6.51,18,19,18,1.6,2.5,2.1,200,0.25,300.0
43,6.50,18,19,18,1.6,2.5,2.1,200,0.25,300.0
44,6.42,18,19,18,1.6,2.5,2.1,200,0.25,300.0
45,6.38,18,19,18,1.6,2.5,2.1,200,0.25,300.0
46,6.35,18,19,18,1.6,2.5,2.1,200,0.25,300.0
47,6.19b,18,19,18,1.6,2.5,2.1,200,0.25,300.0
48,5.66,18,19,18,1.6,2.5,2.1,200,0.25,300.0
49,5.62,18,19,18,1.6,2.5,2.1,200,0.25,300.0
50,5.61,18,19,18,1.6,2.5,2.1,200,0.25,300.0
51,5.58,18,19,18,1.6,2.5,2.1,200,0.25,300.0
52,5.57,18,19,18,1.75,2.5,1.5,200,0.25,300.0
53,5.55,18,19,18,1.75,2.5,1.75,200,0.25,300.0
54,5.54,18,19,18,1.75,1.75,2.8,200,0.25,300.0
55,5.50,18,19,18,1.75,1.75,2.8,200,0.25,300.0
56,5.40,18,19,18,1.75,1.75,2.75,200,0.25,300.0
57,5.31,18,19,18,1.75,1.75,2.75,200,0.25,300.0
58,5.10,18,19,18,1.75,3.15,1.8,200,0.25,300.0
59,4.1beta01,18,19,18,1.75,3.15,1.8,200,0.25,300.0
60,4.0beta9,18,19,18,1.75,3.15,1.8,200,0.25,300.0
61,4.0beta6,18,19,18,1.75,3.15,1.8,200,0.25,300.0
62,4.0beta5,18,19,18,1.75,2.5,1.8,200,0.25,300.0
63,4.0beta2,18,19,18,1.75,2.5,1.8,200,0.25,300.0
64,3.2j,18,19,18,1.75,2.5,1.8,200,0.25,300.0
65,3.00d,18,19,18,1.75,2.5,1.8,200,0.25,300.0
66,3.00a,18,19,18,1.75,2.5,1.8,200,0.25,300.0
67,2.60,18,19,18,1.75,2.5,1.8,200,0.25,300.0
68,0.96b,18,19,18,1.75,2.5,1.8,200,0.25,270.0
69,0.60,18,19,18,1.75,2.5,1.6,200,0.25,270.0
