,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,15,15,3.4,1.8,1.8,200,0.0,300.0
1,7.26b,22,15,15,3.4,1.8,1.8,200,0.0,300.0
2,7.24,22,15,15,3.4,1.8,1.8,200,0.0,300.0
3,7.23e,22,15,15,3.6,1.8,1.8,200,0.0,300.0
4,7.23,22,15,15,3.6,1.8,1.8,200,0.0,300.0
5,7.22f,22,15,15,3.6,1.8,1.8,200,0.0,300.0
6,7.22e,22,15,15,3.6,1.8,1.8,200,0.0,300.0
7,7.22,22,15,15,3.6,1.8,1.8,200,0.0,300.0
8,7.21d,22,15,15,3.6,1.8,1.8,200,0.0,300.0
9,7.21b,22,15,15,3.6,1.8,1.8,200,0.0,300.0
10,7.21,22,15,15,3.6,1.8,1.8,200,0.0,300.0
11,7.20,22,15,15,3.1,1.8,1.8,200,0.0,300.0
12,7.14,22,15,15,3.1,1.75,1.8,200,1.5,300.0
13,7.13b,22,15,15,3.1,1.75,1.8,200,1.5,300.0
14,7.12,22,15,15,3.1,1.75,1.8,200,1.5,300.0
15,7.10,22,15,15,3.1,1.75,1.8,200,1.5,300.0
16,7.08,22,15,15,3.1,1.75,1.8,200,1.5,300.0
17,7.07d,22,15,15,3.1,1.75,1.8,200,1.5,300.0
18,7.07c,22,15,15,3.1,1.75,1.8,200,1.5,300.0
19,7.07,22,15,15,3.1,1.75,1.8,200,1.5,300.0
20,7.06,22,15,15,3.1,1.75,1.8,200,0.0,300.0
21,7.02,22,15,15,2.65,1.75,1.8,200,0.25,300.0
22,7.01,22,15,15,2.65,1.75,1.8,200,0.25,300.0
23,7.00,22,15,15,2.65,1.75,1.8,200,0.25,300.0
24,6.88f,22,15,15,2.65,1.75,1.8,200,0.25,300.0
25,6.88e,22,15,15,2.65,1.75,1.8,200,0.25,300.0
26,6.88,22,15,15,2.65,1.75,1.8,200,0.25,300.0
27,6.87,22,15,15,2.65,1.75,1.8,200,0.25,300.0
28,6.85,22,15,15,2.65,1.75,1.8,200,0.25,300.0
29,6.84,22,15,15,2.65,1.75,1.8,200,0.25,300.0
30,6.82c,22,15,15,2.65,1.75,1.8,200,0.25,300.0
31,6.82,22,15,15,2.65,1.75,1.8,200,0.25,300.0
32,6.81b,22,15,15,2.65,1.75,1.8,200,0.25,300.0
33,6.81,22,15,15,2.65,1.75,1.8,200,0.25,300.0
34,6.80,22,15,15,2.65,1.75,1.8,200,0.25,300.0
35,6.79,22,15,15,2.65,1.75,1.8,200,0.25,300.0
36,6.78,22,15,15,2.65,1.75,1.8,200,0.25,300.0
37,6.77,22,15,15,2.65,1.75,1.8,200,0.25,300.0
38,6.76,22,15,15,2.65,1.75,1.8,200,0.25,300.0
39,6.75,22,15,15,2.65,1.75,1.8,200,0.25,300.0
40,6.72d,22,15,15,2.65,1.75,1.8,200,0.25,300.0
41,6.72c,22,15,15,2.65,1.75,1.8,200,0.25,300.0
42,6.72,22,15,15,2.65,1.75,1.8,200,0.25,300.0
43,6.70b,22,15,15,2.65,1.75,1.8,200,0.25,300.0
44,6.70,22,15,15,2.65,1.75,1.8,200,0.25,300.0
45,6.68,22,15,15,2.65,1.75,1.8,200,0.25,300.0
46,6.67,22,15,15,2.65,1.75,1.8,200,0.25,295.0
47,6.57,22,15,15,2.65,1.75,1.8,200,0.25,295.0
48,6.55,22,15,15,2.65,1.75,1.8,200,0.25,303.0
49,6.53,22,15,15,2.65,1.75,1.8,200,0.25,303.0
50,6.50,22,15,15,2.65,1.75,1.8,200,0.25,303.0
51,6.35,22,15,15,2.65,1.75,1.8,200,0.25,303.0
52,6.28,22,15,15,2.65,1.75,1.8,200,0.25,303.0
53,6.27b,22,15,15,2.65,1.75,1.8,200,0.25,303.0
54,6.20,22,15,15,2.65,1.75,1.8,200,0.25,303.0
55,6.10,22,15,15,2.65,1.75,1.8,200,0.25,303.0
56,6.04,22,15,15,2.65,1.75,1.8,200,0.25,303.0
57,6.00,22,15,15,2.65,1.75,1.8,200,0.25,303.0
58,5.84,22,15,15,2.65,1.75,1.8,200,0.25,303.0
59,5.79,22,15,15,2.65,1.75,1.8,200,0.25,303.0
60,5.78,22,15,15,2.65,1.75,1.8,200,0.25,300.0
61,5.72,22,15,15,2.65,1.75,1.8,200,0.25,300.0
62,5.61,22,15,15,2.65,1.75,1.8,200,0.25,300.0
63,5.58,22,15,15,2.65,1.75,1.8,200,0.25,300.0
64,5.56,22,15,15,3.0,2.0,2.25,200,0.25,300.0
65,5.55,22,15,15,3.0,2.0,2.25,200,0.25,300.0
66,5.53,22,15,15,3.0,2.0,2.25,200,0.25,300.0
67,5.50,22,15,15,3.0,2.0,2.25,200,0.25,300.0
68,5.40,22,15,15,3.0,2.0,2.25,200,0.25,300.0
69,5.35,22,15,15,3.0,2.0,2.25,200,0.25,300.0
70,5.32,22,15,15,2.75,2.0,2.25,200,0.25,300.0
71,5.31,22,15,15,2.75,2.0,2.25,200,0.25,300.0
72,5.10,22,15,15,2.65,2.0,2.25,200,0.25,300.0
73,4.0beta10,22,15,15,2.65,2.0,2.25,200,0.25,300.0
74,4.0beta6,22,15,15,2.65,2.0,2.25,200,0.25,300.0
75,4.0beta5,22,15,15,2.65,2.0,2.25,200,0.25,300.0
76,4.0beta3,22,15,15,2.65,2.0,2.25,200,0.25,300.0
77,4.0beta2,22,15,15,2.65,2.0,2.25,200,0.25,300.0
78,3.2j,22,15,15,2.65,2.0,2.25,200,0.25,300.0
79,3.2a,22,15,15,2.25,2.0,2.5,200,0.25,300.0
80,2.60,22,15,15,2.25,2.0,2.5,200,0.25,300.0
