,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,12,16,3.7,1.3,1.8,200,0.0,280.0
1,7.26b,23,12,16,3.7,1.3,1.8,200,0.0,280.0
2,7.26a,23,12,16,3.7,1.3,1.8,200,0.0,280.0
3,7.25c,23,12,16,3.7,1.3,1.8,200,0.0,280.0
4,7.25,23,12,16,3.7,1.3,1.8,200,0.0,280.0
5,7.24,23,12,16,3.7,1.3,1.8,200,0.0,280.0
6,7.23c,23,12,16,3.7,1.3,1.8,200,0.0,280.0
7,7.23,23,12,16,3.7,1.3,1.8,200,0.0,280.0
8,7.22c,23,12,16,3.7,1.3,1.8,200,0.0,280.0
9,7.22,23,12,16,3.7,1.3,1.8,200,0.0,280.0
10,7.21,23,12,16,3.7,1.3,1.8,200,0.0,280.0
11,7.20,23,12,16,3.2,1.3,1.8,200,0.0,280.0
12,7.19c,23,12,16,3.2,1.3,1.8,200,1.5,280.0
13,7.19,23,12,16,3.2,1.3,1.8,200,1.5,280.0
14,7.17,23,12,16,3.2,1.3,1.8,200,1.5,280.0
15,7.16,23,12,16,3.2,1.3,1.8,200,1.5,280.0
16,7.13b,23,12,16,3.2,1.3,1.8,200,1.5,280.0
17,7.12,23,12,16,3.2,1.3,1.8,200,1.5,285.0
18,7.10,23,12,16,3.2,1.3,1.8,200,1.5,285.0
19,7.07,23,12,16,3.2,1.3,1.8,200,1.5,285.0
20,7.06e,23,12,16,3.2,1.3,1.8,200,0.0,285.0
21,7.06,23,12,16,3.2,1.3,1.8,200,0.0,285.0
22,7.05,23,12,16,2.9,1.3,1.8,200,0.25,285.0
23,7.04,23,12,16,2.9,1.3,1.8,200,0.25,285.0
24,7.03,23,12,16,2.9,1.3,1.8,200,0.25,285.0
25,7.02,23,12,16,2.9,1.3,1.8,200,0.25,285.0
26,7.00,23,12,16,2.9,1.3,1.8,200,0.25,285.0
27,6.88,23,12,16,2.9,1.3,1.8,200,0.25,285.0
28,6.87d,23,12,16,2.9,1.3,1.8,200,0.25,285.0
29,6.87,23,12,16,2.9,1.3,1.8,200,0.25,285.0
30,6.86,23,12,16,2.9,1.3,1.8,200,0.25,285.0
31,6.85,23,12,16,2.9,1.3,1.8,200,0.25,285.0
32,6.84,23,12,16,2.9,1.3,1.8,200,0.25,285.0
33,6.83,23,12,16,2.9,1.3,1.8,200,0.25,285.0
34,6.82,23,12,16,2.9,1.3,1.8,200,0.25,285.0
35,6.81,23,12,16,2.9,1.3,1.8,200,0.25,285.0
36,6.80,23,12,16,2.9,1.3,1.8,200,0.25,285.0
37,6.79c,23,12,16,2.9,1.3,1.8,200,0.25,285.0
38,6.79,23,12,16,2.9,1.3,1.8,200,0.25,285.0
39,6.78,23,12,16,2.9,1.3,1.8,200,0.25,285.0
40,6.77,23,12,16,2.9,1.3,1.8,200,0.25,285.0
41,6.76,23,12,16,2.9,1.3,1.8,200,0.25,285.0
42,6.75b,23,12,16,2.9,1.3,1.8,200,0.25,285.0
43,6.75,23,12,16,2.9,1.3,1.8,200,0.25,285.0
44,6.73,23,12,16,2.9,1.3,1.8,200,0.25,290.0
45,6.72d,23,12,16,2.9,1.3,1.8,200,0.25,290.0
46,6.72,23,12,16,2.9,1.3,1.8,200,0.25,290.0
47,6.71,23,12,16,2.9,1.3,1.8,200,0.25,290.0
48,6.70,23,12,16,2.9,1.3,1.8,200,0.25,290.0
