,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,17,22,23,2.4,2.2,3.5,200,0.5,290.0
1,7.26b,17,22,23,2.4,2.2,3.5,200,0.5,290.0
2,7.25,17,22,23,2.4,2.2,3.5,200,0.5,290.0
3,7.24b,17,22,23,2.4,2.2,3.5,200,0.5,290.0
4,7.24,17,22,23,2.4,2.2,3.5,200,0.5,290.0
5,7.23f,17,22,23,2.4,2.2,3.5,200,0.5,290.0
6,7.23c,17,22,23,2.4,2.2,3.5,200,0.5,290.0
7,7.23,17,22,23,2.4,2.2,3.5,200,0.5,290.0
8,7.22g,17,22,23,2.4,2.2,3.5,200,0.5,290.0
9,7.22c,17,22,23,2.4,1.7,3.5,200,0.5,290.0
10,7.22,17,22,23,2.4,1.7,3.5,200,0.0,290.0
11,7.21d,17,22,23,2.2,1.7,3.1,200,0.0,290.0
12,7.21,17,22,23,2.2,1.7,3.1,200,0.0,290.0
13,7.20e,17,22,23,2.2,1.7,2.7,200,0.0,295.0
14,7.20d,17,22,23,2.2,1.7,2.7,200,0.0,295.0
15,7.20c,17,22,23,2.2,1.7,2.7,200,0.0,295.0
16,7.20,17,22,23,2.2,1.7,3.1,200,0.0,295.0
17,7.19,17,22,23,2.0,1.7,3.1,200,1.5,295.0
18,7.17,17,22,23,2.0,1.7,3.1,200,1.5,295.0
19,7.15,17,22,23,2.0,1.7,3.1,200,1.5,295.0
20,7.14,17,22,23,2.0,1.7,3.1,200,1.5,295.0
21,7.13b,17,22,23,2.0,1.7,3.1,200,1.5,295.0
22,7.07,17,22,23,2.0,1.7,3.1,200,1.5,295.0
23,7.06f,17,22,23,2.0,1.7,3.1,200,0.0,295.0
24,7.06e,17,22,23,2.0,1.7,3.1,200,0.0,295.0
25,7.06,17,22,23,2.0,1.7,3.1,200,0.0,295.0
26,7.04,17,22,23,1.7,1.7,3.1,200,0.25,295.0
27,7.03,17,22,23,1.7,1.7,3.1,200,0.25,295.0
28,7.02,17,22,23,1.7,1.7,3.1,200,0.25,295.0
29,7.01,17,22,23,1.7,1.7,3.1,200,0.25,295.0
30,7.00,17,22,23,1.7,1.7,3.1,200,0.25,295.0
31,6.87,17,22,23,1.7,1.7,3.1,200,0.25,295.0
32,6.86,17,22,23,1.7,1.7,3.1,200,0.25,295.0
33,6.85,17,22,23,1.7,1.7,3.1,200,0.25,295.0
34,6.84,17,22,23,1.7,1.7,3.1,200,0.25,295.0
35,6.82,17,22,23,1.7,1.7,3.1,200,0.25,295.0
36,6.79,17,22,23,1.7,1.7,3.1,200,0.25,295.0
37,6.77,17,22,23,1.7,1.7,3.1,200,0.25,295.0
38,6.76,17,22,23,1.7,1.7,3.1,200,0.25,295.0
39,6.75,17,22,23,1.7,1.7,3.1,200,0.25,295.0
40,6.74,17,22,23,1.7,1.7,3.1,200,0.25,295.0
41,6.72,17,22,23,1.7,1.7,3.1,200,0.25,295.0
42,6.71,17,22,23,1.7,1.7,3.1,200,0.25,295.0
43,6.70,17,22,23,1.7,1.7,3.1,200,0.25,295.0
44,6.69,17,22,23,1.7,1.7,3.1,200,0.25,295.0
45,6.68,17,22,23,1.7,1.7,3.1,200,0.25,295.0
46,6.67,17,22,23,1.7,1.7,3.1,200,0.25,295.0
47,6.63b,17,22,23,1.7,1.7,3.1,200,0.25,295.0
48,6.63,17,22,23,1.7,1.7,3.1,200,0.25,295.0
49,6.57,17,22,23,1.7,1.7,3.1,200,0.25,295.0
50,6.52,17,22,23,1.7,1.7,3.1,200,0.25,295.0
51,6.49,17,22,23,1.7,1.7,3.1,200,0.25,295.0
52,6.48b,17,22,23,1.7,1.7,3.1,200,0.25,295.0
53,6.48,17,22,23,1.7,1.7,3.5,200,0.25,300.0
54,6.47,17,22,23,1.7,1.7,3.5,200,0.25,300.0
