,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,22,21,2.6,2.1,1.8,200,0.0,280.0
1,7.26a,22,22,21,2.6,2.1,1.8,200,0.0,280.0
2,7.23b,22,22,21,2.6,2.1,1.8,200,0.0,285.0
3,7.23a,22,22,21,2.6,2.1,1.8,200,0.0,285.0
4,7.23,22,22,21,2.6,2.1,1.8,200,0.0,285.0
5,7.22,22,22,21,2.6,2.1,1.8,200,0.0,285.0
6,7.21,22,22,21,2.6,2.1,1.8,200,0.0,285.0
7,7.20,22,22,21,2.6,1.8,1.8,200,0.0,285.0
8,7.15,22,22,21,2.6,1.8,1.8,200,1.5,285.0
9,7.12,22,22,21,2.6,1.8,1.8,200,1.5,285.0
10,7.10,22,22,21,2.6,1.8,1.8,200,1.5,285.0
11,7.07d,22,22,21,2.6,1.8,1.8,200,1.5,285.0
12,7.07,22,22,21,2.6,1.8,1.8,200,1.5,285.0
13,7.06e,22,22,21,2.6,1.8,1.8,200,0.0,295.0
14,7.06,22,22,21,2.6,2.0,1.8,200,0.0,295.0
15,7.05,22,22,21,2.3,2.0,1.8,200,0.25,295.0
16,7.04,22,22,21,2.3,2.0,1.8,200,0.25,295.0
17,7.03,22,22,21,2.3,2.0,1.8,200,0.25,295.0
18,7.02,22,22,21,2.3,2.0,1.8,200,0.25,295.0
19,7.00,22,22,21,2.3,2.0,1.8,200,0.25,295.0
20,6.88,22,22,21,2.3,2.0,1.8,200,0.25,295.0
21,6.87,22,22,21,2.3,2.0,1.8,200,0.25,295.0
22,6.85,22,22,21,2.3,2.0,1.8,200,0.25,295.0
23,6.84,22,22,21,2.3,2.0,1.8,200,0.25,295.0
24,6.82c,22,22,21,2.3,2.0,1.8,200,0.25,295.0
25,6.82,22,22,21,2.3,2.0,1.8,200,0.25,295.0
26,6.81,22,22,21,2.3,2.0,1.8,200,0.25,295.0
27,6.78,22,22,21,1.7,2.0,1.8,200,0.25,295.0
28,6.76,22,22,21,1.7,2.0,1.8,200,0.25,295.0
29,6.75,22,22,21,1.7,2.0,1.8,200,0.25,295.0
30,6.74,22,22,21,1.7,2.0,1.8,200,0.25,295.0
31,6.73,22,22,21,1.7,2.0,1.8,200,0.25,295.0
32,6.72,22,22,21,1.7,2.0,1.8,200,0.25,295.0
33,6.70,22,22,21,1.7,2.0,1.8,200,0.25,295.0
34,6.69,22,22,21,1.7,2.0,1.8,200,0.25,295.0
35,6.68,22,22,21,1.7,2.0,1.8,200,0.25,295.0
36,6.65,22,22,21,1.7,2.0,1.8,200,0.25,295.0
37,6.63,22,22,21,1.9,2.5,1.8,200,0.25,295.0
38,6.61,22,22,21,1.9,2.5,1.8,200,0.25,295.0
39,6.60,22,22,21,1.9,2.5,1.8,200,0.25,295.0
40,6.52,22,22,21,1.9,2.5,1.8,200,0.25,295.0
41,6.41,22,22,21,1.9,2.5,1.8,200,0.25,295.0
42,6.40,22,22,21,1.9,2.5,1.8,200,0.25,295.0
43,6.39,22,22,21,1.9,2.5,1.8,200,0.25,295.0
44,6.36b,22,22,21,1.9,2.5,1.8,200,0.25,295.0
45,6.05,22,22,21,1.9,2.5,1.8,200,0.25,295.0
46,6.00,22,22,21,1.9,2.5,1.8,200,0.25,295.0
47,5.72,22,22,21,1.9,2.5,1.8,200,0.25,295.0
48,5.65,22,22,21,1.9,2.5,1.8,200,0.25,295.0
49,5.60,22,22,21,1.9,2.75,1.55,200,0.25,295.0
50,5.58,22,22,21,1.9,2.75,1.55,200,0.25,300.0
51,5.55,22,22,21,1.5,2.5,1.2,200,0.25,300.0
52,5.54,22,22,21,1.5,2.5,1.2,200,0.25,300.0
53,5.53,22,22,21,1.5,2.5,1.2,200,0.25,300.0
54,5.51,22,22,21,1.5,2.5,1.5,200,0.25,300.0
55,5.50,22,22,21,1.5,2.5,1.5,200,0.25,300.0
56,5.40,22,22,21,1.5,2.5,1.5,200,0.25,300.0
57,5.31,22,22,21,1.5,2.5,1.5,200,0.25,300.0
58,4.0beta10,22,22,21,1.5,2.5,1.5,200,0.25,300.0
59,4.0beta6,22,22,21,1.5,2.5,1.5,200,0.25,300.0
60,4.0beta5,22,22,21,1.5,2.5,1.5,200,0.25,300.0
61,4.0beta3,22,22,21,1.5,2.5,1.5,200,0.25,300.0
62,4.0beta2,22,22,21,1.5,2.5,1.5,200,0.25,300.0
63,3.2j,22,22,21,1.5,2.5,1.5,200,0.25,300.0
64,3.2a,22,22,21,1.5,2.5,1.5,200,0.25,300.0
65,3.00a,22,22,21,1.5,2.5,1.5,200,0.25,300.0
66,2.60,22,22,21,1.5,2.5,1.5,200,0.25,300.0
67,0.96b,22,22,21,1.5,2.5,1.5,200,0.25,300.0
68,0.60,22,22,21,1.5,2.5,1.5,200,0.25,300.0
