,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,16,19,2.3,1.6,3.5,200,0.0,285.0
1,7.26b,23,16,19,2.3,1.6,3.5,200,0.0,285.0
2,7.23e,23,16,19,2.3,1.6,3.5,200,0.0,285.0
3,7.23,23,16,19,2.3,1.6,3.5,200,0.0,285.0
4,7.22c,23,16,19,2.3,1.6,3.5,200,0.0,285.0
5,7.22,23,16,19,2.3,1.6,3.5,200,0.0,285.0
6,7.21d,23,16,19,2.3,1.6,3.5,200,0.0,285.0
7,7.21c,23,16,19,2.3,1.6,3.5,200,0.0,285.0
8,7.21,23,16,19,2.3,1.6,3.5,200,0.0,285.0
9,7.20,23,16,19,2.3,1.6,3.0,200,0.0,285.0
10,7.19,23,16,19,2.1,1.6,3.0,200,1.5,285.0
11,7.18,23,16,19,2.1,1.6,3.0,200,1.5,285.0
12,7.17,23,16,19,2.1,1.6,3.0,200,1.5,285.0
13,7.15,23,16,19,2.1,1.6,3.0,200,1.5,285.0
14,7.14,23,16,19,2.1,1.6,3.0,200,1.5,285.0
15,7.13b,23,16,19,2.1,1.6,3.0,200,1.5,285.0
16,7.08,23,16,19,2.1,1.6,3.0,200,1.5,285.0
17,7.07,23,16,19,2.1,1.6,3.0,200,1.5,285.0
18,7.06,23,16,19,2.1,1.6,3.0,200,0.0,285.0
19,7.05,23,16,19,1.6,1.6,3.0,200,0.0,285.0
20,7.03,23,16,19,1.6,1.6,3.0,200,0.0,285.0
21,7.02,23,16,19,1.6,1.6,3.0,200,0.0,285.0
22,7.00,23,16,19,1.6,1.6,3.0,200,0.0,285.0
23,6.88,23,16,19,1.6,1.6,3.0,200,0.0,285.0
24,6.87,23,16,19,1.6,1.6,3.0,200,0.0,285.0
25,6.86,23,16,19,1.6,1.6,3.0,200,0.0,285.0
26,6.85,23,16,19,1.6,1.6,3.0,200,0.0,285.0
27,6.84,23,16,19,1.6,1.6,3.0,200,0.0,285.0
28,6.82,23,16,19,1.6,1.6,3.0,200,0.0,285.0
29,6.80,23,16,19,1.6,1.6,3.0,200,0.0,285.0
30,6.79,23,16,19,1.6,1.6,3.0,200,0.0,285.0
31,6.78,23,16,19,1.6,1.6,3.0,200,0.0,285.0
32,6.72,23,16,19,1.6,1.6,3.0,200,0.0,285.0
33,6.71,23,16,19,1.6,1.6,3.0,200,0.0,285.0
34,6.70,23,16,19,1.6,1.6,3.0,200,0.0,285.0
35,6.64,23,16,19,1.6,1.6,3.0,200,0.0,285.0
36,6.63,23,16,19,1.6,1.6,3.0,200,0.0,285.0
37,6.60,23,16,19,1.6,1.6,3.0,200,0.0,285.0
38,6.59,23,16,19,1.6,1.6,3.0,200,0.0,285.0
39,6.58,23,16,19,1.6,1.6,3.0,200,0.0,285.0
40,6.57,23,16,19,1.6,1.6,3.0,200,0.0,285.0
41,6.55,23,16,19,1.6,1.6,3.0,200,0.0,285.0
42,6.20,23,16,19,1.6,1.6,3.0,200,0.0,275.0
43,6.17,23,16,19,1.6,1.6,3.0,200,0.0,275.0
44,6.10,23,16,19,1.6,1.6,3.0,200,0.0,280.0
45,6.00,23,16,19,1.6,1.6,3.0,200,0.0,280.0
46,5.72,23,16,19,1.6,1.6,3.0,200,0.0,280.0
47,5.58,23,16,19,1.6,1.6,3.0,200,0.0,280.0
48,5.55,23,16,19,1.5,1.5,3.0,200,0.0,280.0
49,5.53,23,16,19,1.5,1.5,3.0,200,0.0,280.0
50,5.50,23,16,19,1.5,1.5,3.0,200,0.0,280.0
51,5.40,23,16,19,1.5,1.5,3.0,200,0.0,280.0
52,5.36,23,16,19,1.5,1.5,3.0,200,0.0,280.0
53,5.31,23,16,19,1.5,1.5,3.0,200,0.0,280.0
54,5.10,23,16,19,1.5,1.5,3.0,200,0.0,280.0
55,4.1beta01,23,16,19,1.5,1.5,3.0,200,0.0,280.0
56,4.0beta10,23,16,19,1.5,1.5,3.0,200,0.0,280.0
57,4.0beta6,23,16,19,1.5,1.5,3.0,200,0.0,280.0
58,4.0beta5,23,16,19,1.5,1.5,3.0,200,0.0,280.0
59,4.0beta3,23,16,19,1.5,1.5,3.0,200,0.0,280.0
60,4.0beta2,23,16,19,1.5,1.5,3.0,200,0.0,280.0
61,3.2j,23,16,19,1.5,1.5,3.0,200,0.0,280.0
62,3.2a,23,16,19,1.5,1.5,3.0,200,0.0,280.0
63,2.60,23,16,19,1.5,1.5,3.0,200,0.0,280.0
64,0.60,23,16,19,1.5,1.5,3.0,200,0.0,300.0
