,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,21,17,15,3.6,2.4,1.5,200,0.5,300.0
1,7.26a,21,17,15,3.6,2.4,1.5,200,0.5,300.0
2,7.24b,21,17,15,3.6,2.4,1.5,200,0.5,300.0
3,7.24,21,17,15,3.6,2.4,1.5,200,0.5,300.0
4,7.23,21,17,15,3.6,2.4,1.5,200,0.5,290.0
5,7.22e,21,17,15,3.6,2.4,1.5,200,0.5,290.0
6,7.22d,21,17,15,3.6,2.4,1.5,200,0.5,290.0
7,7.22c,21,17,15,3.6,2.4,1.5,200,0.5,290.0
8,7.22,21,17,15,3.6,2.4,1.5,200,0.0,290.0
9,7.21,21,17,15,3.6,2.4,1.5,200,0.0,290.0
10,7.20d,21,17,15,3.1,2.4,1.5,200,0.0,290.0
11,7.20c,21,17,15,3.1,2.4,1.5,200,0.0,285.0
12,7.20,21,17,15,3.1,2.4,1.5,200,0.0,285.0
13,7.16,21,17,15,3.1,2.4,1.5,200,1.5,285.0
14,7.13b,21,17,15,3.1,2.4,1.5,200,1.5,285.0
15,7.12,21,17,15,3.1,2.4,1.5,200,1.5,290.0
16,7.10,21,17,15,3.1,2.4,1.5,200,1.5,290.0
17,7.07,21,17,15,3.1,2.4,1.5,200,1.5,290.0
18,7.06,21,17,15,3.1,2.4,1.5,200,0.0,290.0
19,7.03,21,17,15,2.8,2.4,1.5,200,0.25,290.0
20,7.02,21,17,15,2.8,2.4,1.5,200,0.25,290.0
21,7.00,21,17,15,2.8,2.4,1.5,200,0.25,290.0
22,6.88,21,17,15,2.8,2.4,1.5,200,0.25,290.0
23,6.87c,21,17,15,2.8,2.4,1.5,200,0.25,295.0
24,6.87,21,17,15,2.8,2.4,1.5,200,0.25,300.0
25,6.86,21,17,15,2.8,2.4,1.5,200,0.25,300.0
26,6.85,21,17,15,2.8,2.4,1.5,200,0.25,300.0
27,6.84,21,17,15,2.8,2.4,1.5,200,0.25,300.0
28,6.83,21,17,15,2.8,2.4,1.5,200,0.25,300.0
29,6.82,21,17,15,2.8,2.4,1.5,200,0.25,300.0
30,6.81b,21,17,15,2.8,2.4,1.5,200,0.25,300.0
31,6.80,21,17,15,2.8,2.4,1.5,200,0.25,300.0
32,6.79,21,17,15,2.8,2.4,1.5,200,0.25,300.0
33,6.78,21,17,15,2.8,2.4,1.5,200,0.25,300.0
34,6.75,21,17,15,2.8,2.4,1.5,200,0.25,300.0
35,6.72d,21,17,15,2.8,2.4,1.5,200,0.25,300.0
36,6.72c,21,17,15,2.8,2.4,1.5,200,0.25,300.0
37,6.72,21,17,15,2.8,2.4,1.5,200,0.25,300.0
38,6.70,21,17,15,2.8,2.4,1.5,200,0.25,300.0
39,6.67,21,17,15,2.8,1.9,1.5,200,0.25,300.0
40,6.60,21,17,15,2.8,1.9,1.5,200,0.25,300.0
41,6.57,21,17,15,2.8,1.9,1.5,200,0.25,300.0
42,6.52b,21,17,15,2.8,1.9,1.5,200,0.25,300.0
43,6.50,21,17,15,2.8,1.9,1.5,200,0.25,300.0
44,6.41,21,17,15,2.8,1.9,1.5,200,0.25,300.0
45,6.35,21,17,15,2.8,1.9,1.5,200,0.25,300.0
46,6.31,21,17,15,2.8,1.9,1.5,200,0.25,300.0
47,6.20,21,17,15,2.8,1.9,1.5,200,0.25,300.0
48,6.13,21,17,15,2.8,1.9,1.5,200,0.25,300.0
49,6.07,21,17,15,2.8,1.9,1.5,200,0.25,300.0
50,6.06,21,17,15,2.8,1.9,1.5,200,0.25,300.0
51,6.00,21,17,15,2.8,1.9,1.5,200,0.25,300.0
52,5.76,21,17,15,2.8,1.9,1.5,200,0.25,300.0
53,5.72,21,17,15,2.8,1.9,1.5,200,0.25,300.0
54,5.59,21,17,15,2.8,1.9,1.5,200,0.25,300.0
55,5.58,21,17,15,2.8,1.9,1.5,200,0.25,300.0
56,5.57,21,17,15,3.0,2.0,1.5,200,0.25,300.0
57,5.56,21,17,15,3.0,2.0,1.5,200,0.25,300.0
58,5.55,21,17,15,3.0,2.0,1.5,200,0.25,300.0
59,5.54,21,17,15,3.0,2.0,1.5,200,0.25,300.0
60,5.50,21,17,15,3.0,2.0,1.5,200,0.25,300.0
61,5.40,21,17,15,3.0,2.0,1.5,200,0.25,300.0
62,5.36,21,17,15,3.0,2.0,1.5,200,0.25,300.0
63,5.31,21,17,15,3.0,2.0,1.5,200,0.25,300.0
64,5.10,21,17,15,3.0,2.0,1.5,200,0.25,300.0
65,4.1beta01,21,17,15,3.0,2.0,1.5,200,0.25,300.0
66,4.0beta10,21,17,15,3.0,2.0,1.5,200,0.25,300.0
67,4.0beta9,21,17,15,3.0,2.0,1.5,200,0.25,300.0
68,4.0beta6,21,17,15,3.0,2.0,1.5,200,0.25,300.0
69,4.0beta5,21,17,15,3.0,2.0,1.5,200,0.25,300.0
70,4.0beta2,21,17,15,3.0,2.0,1.5,200,0.25,300.0
71,3.2j,21,17,15,3.0,2.0,1.5,200,0.25,300.0
72,3.2a,21,17,15,3.0,2.0,1.5,200,0.25,300.0
73,3.00d,21,17,15,3.0,2.0,1.5,200,0.25,300.0
74,2.60,21,17,15,3.0,2.0,1.5,200,0.25,300.0
75,0.60,21,17,15,3.0,2.0,1.5,200,0.25,280.0
