,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,19,21,15,1.7,3.4,2.6,200,0.0,285.0
1,7.26b,19,21,15,1.7,3.4,2.6,200,0.0,285.0
2,7.25,19,21,15,1.7,3.4,2.6,200,0.0,285.0
3,7.23c,19,21,15,1.7,3.4,2.6,200,0.0,285.0
4,7.23,19,21,15,1.7,3.1,2.6,200,0.0,285.0
5,7.21d,19,21,15,1.7,3.1,2.6,200,0.0,285.0
6,7.21c,19,21,15,1.7,3.1,2.6,200,0.0,285.0
7,7.21b,19,21,15,1.7,3.1,2.6,200,0.0,285.0
8,7.21,19,21,15,1.7,3.1,2.6,200,0.0,285.0
9,7.20,19,21,15,1.7,2.7,2.6,200,0.0,285.0
10,7.19,19,21,15,1.7,2.7,2.6,200,1.5,285.0
11,7.18,19,21,15,1.7,2.7,2.6,200,1.5,285.0
12,7.17,19,21,15,1.7,2.7,2.6,200,1.5,285.0
13,7.16,19,21,15,1.7,2.7,2.6,200,1.5,285.0
14,7.15,19,21,15,1.7,2.7,2.6,200,1.5,285.0
15,7.12,19,21,15,1.7,2.7,2.6,200,1.5,285.0
16,7.07c,19,21,15,1.7,2.7,2.6,200,1.5,285.0
17,7.07,19,21,15,2.0,2.7,2.6,200,1.5,285.0
18,7.06e,19,21,15,2.0,2.7,2.6,200,0.0,290.0
19,7.06,19,21,15,2.0,2.5,2.6,200,0.0,290.0
20,7.02,19,21,15,1.7,2.5,2.6,200,0.25,290.0
21,7.00,19,21,15,1.7,2.5,2.6,200,0.25,290.0
22,6.88b,19,21,15,1.7,2.5,2.6,200,0.25,290.0
23,6.88,19,21,15,1.7,2.5,2.6,200,0.25,290.0
24,6.87,19,21,15,1.7,2.5,2.6,200,0.25,290.0
25,6.85,19,21,15,1.7,2.5,2.6,200,0.25,290.0
26,6.84,19,21,15,1.7,2.5,2.6,200,0.25,290.0
27,6.83,19,21,15,1.7,2.9,2.6,200,0.25,290.0
28,6.82,19,21,15,1.7,2.9,2.6,200,0.25,290.0
29,6.81,19,21,15,1.7,2.9,2.6,200,0.25,290.0
30,6.80,19,21,15,1.7,2.9,2.6,200,0.25,290.0
31,6.79,19,21,15,1.7,2.9,2.6,200,0.25,290.0
32,6.78,19,21,15,1.7,2.9,2.6,200,0.25,290.0
33,6.76,19,21,15,1.7,2.9,2.6,200,0.25,290.0
34,6.75,19,21,15,1.7,2.9,2.6,200,0.25,290.0
35,6.74,19,21,15,1.7,2.9,2.6,200,0.25,290.0
36,6.73,19,21,15,1.7,2.9,2.6,200,0.25,290.0
37,6.71,19,21,15,1.7,2.9,2.6,200,0.25,290.0
38,6.68,19,21,15,1.7,2.9,2.6,200,0.25,290.0
39,6.65,19,21,15,1.7,2.9,2.6,200,0.25,290.0
40,6.64,19,21,15,1.7,2.9,2.6,200,0.25,290.0
41,6.61,19,21,15,1.7,2.9,2.6,200,0.25,290.0
42,6.60,19,21,15,1.7,2.9,2.6,200,0.25,290.0
43,6.56,19,21,15,1.7,2.9,2.6,200,0.25,290.0
44,6.52,19,21,15,1.7,2.9,2.6,200,0.25,290.0
45,6.50,19,21,15,1.7,2.9,2.6,200,0.25,290.0
46,6.45,19,21,15,1.7,2.9,2.6,200,0.25,290.0
47,6.44,19,21,15,1.7,1.9,2.6,200,0.25,290.0
48,6.41,19,21,15,1.7,1.9,2.6,200,0.25,290.0
49,6.31,19,21,15,1.7,1.9,2.6,200,0.25,290.0
50,6.28,19,21,15,1.7,1.9,2.6,200,0.25,290.0
51,6.24,19,21,15,1.7,1.9,2.6,200,0.25,290.0
52,6.20,19,21,15,1.7,1.9,2.6,200,0.25,290.0
53,6.17,19,21,15,1.7,1.9,2.6,200,0.25,290.0
54,6.09b,19,21,15,1.7,1.9,2.6,200,0.25,290.0
55,6.03,19,21,15,1.7,1.9,2.6,200,0.25,290.0
56,6.01,19,21,15,1.7,1.9,2.6,200,0.25,290.0
57,6.00,19,21,15,1.7,1.9,2.6,200,0.25,290.0
58,5.75,19,21,15,1.7,2.75,1.75,200,0.25,300.0
59,5.74,19,21,15,1.7,2.75,1.75,200,0.25,300.0
60,5.72,19,21,15,1.7,2.75,1.75,200,0.25,300.0
61,5.66,19,21,15,1.7,2.75,1.75,200,0.25,300.0
62,5.61,19,21,15,1.7,2.75,1.75,200,0.25,300.0
63,5.58,19,21,15,1.7,2.75,1.75,200,0.25,300.0
64,5.55,19,21,15,2.3,2.9,1.75,200,0.25,300.0
65,5.52,19,21,15,2.3,2.9,1.75,200,0.25,300.0
66,5.50,19,21,15,2.3,2.9,1.75,200,0.25,300.0
67,5.35,19,21,15,2.3,2.9,1.75,200,0.25,300.0
68,5.31,19,21,15,2.3,2.9,1.75,200,0.25,300.0
69,5.10,19,21,15,2.8,2.2,1.75,200,0.25,300.0
70,4.1beta01,19,21,15,2.23,2.75,1.15,200,0.25,300.0
71,4.0beta6,19,21,15,2.23,2.75,1.15,200,0.25,300.0
72,4.0beta5,19,21,15,2.23,2.75,1.15,200,0.25,300.0
73,4.0beta2,19,21,15,2.23,2.75,1.15,200,0.25,300.0
74,3.2j,19,21,15,2.23,2.75,1.15,200,0.25,300.0
75,3.00d,19,21,15,2.23,2.75,1.15,200,0.25,300.0
76,3.00a,19,21,15,2.23,2.75,1.15,200,0.25,300.0
77,2.60,19,21,15,2.23,2.75,1.15,200,0.25,300.0
