,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,23,23,16,2.5,2.1,1.9,200,2.5,290.0
1,7.26b,23,23,16,2.5,2.1,1.9,200,2.5,290.0
2,7.25,23,23,16,2.5,2.1,1.9,200,2.5,290.0
3,7.24,23,23,16,2.5,2.1,1.9,200,1.5,290.0
4,7.22,23,23,16,2.5,2.1,1.9,200,0.0,290.0
5,7.21b,23,23,16,2.5,2.1,1.9,200,0.0,290.0
6,7.21,23,23,16,2.5,2.1,1.9,200,0.0,290.0
7,7.20e,23,23,16,2.3,1.8,1.9,200,0.0,290.0
8,7.20d,23,23,16,2.3,1.8,1.9,200,0.0,290.0
9,7.20c,23,23,16,2.3,1.8,1.9,200,0.0,285.0
10,7.20,23,23,16,2.3,1.8,1.9,200,0.0,285.0
11,7.19c,23,23,16,2.3,1.8,1.9,200,1.5,285.0
12,7.19b,23,23,16,2.3,1.8,1.9,200,1.5,285.0
13,7.17,23,23,16,2.3,1.8,1.9,200,1.5,285.0
14,7.15,23,23,16,2.3,1.8,1.9,200,1.5,285.0
15,7.14,23,23,16,2.3,1.8,1.9,200,1.5,285.0
16,7.12,23,23,16,2.3,1.8,1.9,200,1.5,285.0
17,7.10,23,23,16,2.3,1.8,1.9,200,1.5,285.0
18,7.07c,23,23,16,2.3,1.8,1.9,200,1.5,285.0
19,7.07,23,23,16,2.3,1.8,1.9,200,1.5,285.0
20,7.06f,23,23,16,2.3,1.8,1.9,200,0.0,290.0
21,7.06e,23,23,16,2.3,1.8,1.9,200,0.0,290.0
22,7.06,23,23,16,2.3,1.8,1.9,200,0.0,290.0
23,7.03,23,23,16,2.0,1.8,1.9,200,0.25,290.0
24,7.02,23,23,16,2.0,1.8,1.9,200,0.25,290.0
25,7.00,23,23,16,2.0,1.8,1.9,200,0.25,290.0
26,6.87,23,23,16,2.0,1.8,1.9,200,0.25,290.0
27,6.85,23,23,16,2.0,2.2,1.9,200,0.25,290.0
28,6.84,23,23,16,2.0,2.2,1.9,200,0.25,290.0
29,6.82c,23,23,16,2.0,2.2,1.9,200,0.25,290.0
30,6.82,23,23,16,2.0,2.2,1.9,200,0.25,295.0
31,6.79,23,23,16,2.0,2.2,1.9,200,0.25,295.0
32,6.77,23,23,16,2.0,2.2,1.9,200,0.25,295.0
33,6.75,23,23,16,2.0,2.2,1.9,200,0.25,295.0
34,6.73,23,23,16,2.0,2.2,1.9,200,0.25,295.0
35,6.72d,23,23,16,2.0,2.2,1.9,200,0.25,295.0
36,6.72c,23,23,16,2.0,2.2,1.9,200,0.25,295.0
37,6.72,23,23,16,2.0,2.2,1.9,200,0.25,295.0
38,6.70,23,23,16,2.0,2.2,1.9,200,0.25,295.0
39,6.68,23,23,16,2.0,2.2,1.9,200,0.25,295.0
40,6.67,23,23,16,2.0,2.2,1.9,200,0.25,295.0
41,6.65,23,23,16,2.0,2.2,1.9,200,0.25,295.0
42,6.61,23,23,16,2.0,2.2,1.9,200,0.25,295.0
43,6.60,23,23,16,2.0,2.2,1.9,200,0.25,295.0
44,6.59,23,23,16,2.0,2.2,1.9,200,0.25,295.0
45,6.58,23,23,16,2.0,2.2,1.9,200,0.25,295.0
46,6.57,23,23,16,2.0,2.2,1.9,200,0.25,295.0
47,6.55,23,23,16,2.0,2.2,1.9,200,0.25,295.0
48,6.53,23,23,16,2.0,2.2,1.9,200,0.25,295.0
49,6.50,23,23,16,2.0,2.2,1.9,200,0.25,295.0
50,6.42,23,23,16,2.0,2.2,1.9,200,0.25,295.0
51,6.36b,23,23,16,2.0,2.2,1.9,200,0.25,295.0
52,6.36,23,23,16,2.0,2.2,1.9,200,0.25,295.0
53,6.35,23,23,16,2.0,2.2,1.9,200,0.25,295.0
54,6.34,23,23,16,2.0,2.2,1.9,200,0.25,295.0
55,6.33b,23,23,16,2.0,2.2,1.9,200,0.25,295.0
56,6.33,23,23,16,2.0,2.2,1.9,200,0.25,295.0
57,6.30,23,23,16,2.0,2.2,1.3,200,0.25,300.0
58,6.29b,23,23,16,2.0,2.2,1.3,200,0.25,300.0
59,6.29,23,23,16,2.0,2.2,1.3,200,0.25,300.0
60,6.28,23,23,16,2.0,2.2,1.3,200,0.25,300.0
