,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,29,17,14,3.1,1.7,1.8,200,1.25,290.0
1,7.26b,29,17,14,3.1,1.7,1.8,200,1.25,285.0
2,7.26a,29,17,14,3.1,1.7,1.8,200,1.25,285.0
3,7.25,29,17,14,3.1,1.7,1.8,200,1.25,285.0
4,7.24,29,17,14,3.1,1.7,1.8,200,1.25,285.0
5,7.22f,29,17,14,3.1,1.7,1.8,200,1.25,285.0
6,7.22e,29,17,14,3.1,1.7,1.8,200,1.25,285.0
7,7.22d,29,17,14,3.1,1.7,1.8,200,1.25,285.0
8,7.22,29,17,14,3.1,1.7,1.8,200,1.25,285.0
9,7.21d,29,17,14,3.1,1.7,1.8,200,0.75,285.0
10,7.21c,29,17,14,3.1,1.7,1.8,200,0.75,285.0
11,7.21,29,17,14,3.1,1.7,1.8,200,0.0,285.0
12,7.20d,29,17,14,2.7,1.7,1.8,200,0.0,285.0
13,7.20c,29,17,14,2.7,1.7,1.8,200,0.0,280.0
14,7.20,29,17,14,2.7,1.7,1.8,200,0.0,280.0
15,7.17,29,17,14,2.7,1.7,1.8,200,1.5,280.0
16,7.16,29,17,14,2.7,1.7,1.8,200,1.5,280.0
17,7.14,29,17,14,2.7,1.7,1.8,200,1.0,280.0
18,7.13b,29,17,14,2.7,1.7,1.8,200,1.0,280.0
19,7.12,29,17,14,2.7,1.7,1.8,200,1.0,285.0
20,7.07c,29,17,14,2.7,1.7,1.8,200,1.0,285.0
21,7.07b,29,17,14,2.7,1.7,1.8,200,1.0,285.0
22,7.07,29,17,14,2.7,1.7,1.8,200,1.0,285.0
23,7.06f,29,17,14,2.7,1.7,1.8,200,0.5,285.0
24,7.06,29,17,14,2.7,1.7,1.8,200,0.5,290.0
25,7.02,29,17,14,2.4,1.7,1.8,200,0.75,290.0
26,7.00,29,17,14,2.4,1.7,1.8,200,0.75,290.0
27,6.88,29,17,14,2.4,1.7,1.8,200,0.75,290.0
28,6.87,29,17,14,2.4,1.7,1.8,200,0.75,290.0
29,6.85,29,17,14,2.4,1.7,1.8,200,0.75,290.0
30,6.84,29,17,14,2.4,1.7,1.8,200,0.75,290.0
31,6.83,29,17,14,2.4,1.7,1.8,200,0.75,290.0
32,6.82,29,17,14,2.4,1.7,1.8,200,0.75,290.0
33,6.81,29,17,14,2.4,1.7,1.8,200,0.75,290.0
34,6.80,29,17,14,2.4,1.7,1.8,200,0.75,290.0
35,6.79,29,17,14,2.4,1.7,1.8,200,0.75,290.0
36,6.78,29,17,14,2.4,1.7,1.8,200,0.75,290.0
37,6.75,29,17,14,2.4,1.7,1.8,200,0.75,290.0
38,6.73,29,17,14,2.4,1.7,1.8,200,0.75,290.0
39,6.72d,29,17,14,2.4,1.7,1.8,200,0.75,290.0
40,6.72c,29,17,14,2.8,1.7,1.8,200,0.75,295.0
41,6.72,29,17,14,2.8,1.7,1.8,200,0.75,295.0
42,6.71,29,17,14,2.8,1.7,1.8,200,0.25,295.0
43,6.69,29,17,14,2.0,1.7,1.8,200,0.25,295.0
44,6.68,29,17,14,2.0,1.7,1.8,200,0.25,295.0
45,6.67,29,17,14,2.0,1.7,1.8,200,0.25,295.0
46,6.66,29,17,14,2.0,1.7,1.8,200,0.25,295.0
47,6.60,29,17,14,2.0,1.7,1.8,200,0.25,295.0
48,6.58,29,17,14,2.0,1.7,1.8,200,0.25,295.0
49,6.57,29,17,14,2.0,1.7,1.8,200,0.25,295.0
50,6.55,29,17,14,2.0,1.7,1.8,200,0.25,295.0
51,6.54,29,17,14,2.0,1.7,1.8,200,0.25,295.0
52,6.47,29,17,14,2.0,1.7,1.8,200,0.25,295.0
53,6.46,29,17,14,2.0,1.7,1.8,200,0.25,295.0
54,6.44,29,17,14,2.0,1.7,1.8,200,0.25,295.0
55,6.35,29,17,14,2.0,1.7,1.8,200,0.25,295.0
56,6.33,29,17,14,2.0,1.7,1.8,200,0.25,295.0
57,6.30,29,17,14,2.0,1.7,1.8,200,0.25,295.0
58,6.28,29,17,14,2.0,1.7,1.8,200,0.25,295.0
59,6.27,29,17,14,2.0,1.7,1.8,200,0.25,295.0
60,6.26,29,17,14,2.0,1.7,1.8,200,0.25,295.0
61,6.20,29,17,14,2.0,1.7,1.8,200,0.25,295.0
62,6.19,29,17,14,2.0,1.7,1.8,200,0.25,295.0
63,6.17,29,17,14,2.0,1.7,1.8,200,0.25,295.0
64,6.13,29,17,14,2.0,1.7,1.8,200,0.25,290.0
65,6.11,29,17,14,2.0,1.7,1.8,200,0.25,290.0
66,6.10,29,17,14,2.0,1.7,1.8,200,0.25,290.0
67,6.09b,29,17,14,2.0,1.7,1.8,200,0.25,290.0
68,6.09,29,17,14,2.0,1.7,1.8,200,0.25,290.0
69,6.08,29,17,14,2.1,1.7,1.8,200,0.25,290.0
70,6.07,29,17,14,2.1,1.6,1.8,200,0.25,290.0
