,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,21,16,3.2,2.0,1.3,200,0.0,315.0
1,7.26b,22,21,16,3.2,2.0,1.3,200,0.0,315.0
2,7.25,22,21,16,3.2,2.0,1.3,200,0.0,315.0
3,7.24,22,21,16,3.2,2.0,1.3,200,0.0,310.0
4,7.23,22,21,16,3.2,2.0,1.3,200,0.0,310.0
5,7.22f,22,21,16,3.2,2.0,1.3,200,0.0,310.0
6,7.22e,22,21,16,3.2,2.0,1.3,200,0.0,310.0
7,7.22d,22,21,16,3.2,2.0,1.3,200,0.0,310.0
8,7.22c,22,21,16,3.2,2.0,1.3,200,0.0,310.0
9,7.21c,22,21,16,3.2,2.0,1.3,200,0.0,310.0
10,7.21b,22,21,16,3.5,2.0,1.3,200,0.0,310.0
11,7.21,22,21,16,3.5,2.0,1.3,200,0.0,310.0
12,7.20e,22,21,16,3.0,2.0,1.3,200,0.0,295.0
13,7.20d,22,21,16,3.0,2.0,1.3,200,0.0,290.0
14,7.20b,22,21,16,3.0,2.0,1.3,200,0.0,285.0
15,7.20,22,21,16,3.0,2.0,1.3,200,0.0,285.0
16,7.19,22,21,16,3.0,2.0,1.3,200,1.5,285.0
17,7.18,22,21,16,3.0,2.0,1.3,200,1.5,285.0
18,7.17,22,21,16,3.0,2.0,1.3,200,1.5,285.0
19,7.16,22,21,16,3.0,2.0,1.3,200,1.5,285.0
20,7.14,22,21,16,3.0,2.0,1.3,200,1.5,285.0
21,7.13b,22,21,16,3.0,2.0,1.3,200,1.5,285.0
22,7.10,22,21,16,3.0,2.0,1.3,200,1.5,290.0
23,7.07b,22,21,16,3.0,2.0,1.3,200,1.5,290.0
24,7.07,22,21,16,3.0,2.0,1.3,200,1.5,290.0
25,7.06f,22,21,16,3.0,2.0,1.3,200,0.0,290.0
26,7.06e,22,21,16,3.0,2.0,1.3,200,0.0,290.0
27,7.06b,22,21,16,3.0,2.0,1.3,200,0.0,290.0
28,7.06,22,21,16,3.0,2.0,1.3,200,0.0,290.0
29,7.05,22,21,16,2.7,2.0,1.3,200,0.25,290.0
