,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,19,23,20,2.4,3.2,2,200,0.25,305.0
1,7.26b,19,23,20,2.4,3.2,2,200,0.25,305.0
2,7.25,19,23,20,2.4,3.2,2,200,0.25,305.0
3,7.23c,19,23,20,2.4,3.2,2,200,0.25,305.0
4,7.23,19,23,20,2.4,3.2,2,200,0.25,305.0
5,7.22d,19,23,20,2.4,3.2,2,200,0.25,305.0
6,7.22,19,23,20,2.4,3.2,2,200,0.25,305.0
7,7.21d,19,23,20,2.4,3.2,2,200,0.25,305.0
8,7.21c,19,23,20,2.4,2.8,2,200,0.25,305.0
9,7.21b,19,23,20,2.4,2.6,2,200,0.25,305.0
10,7.21,19,23,20,2.4,2.6,2,200,0.25,305.0
11,7.20,19,23,20,2.4,2.3,2,200,0.25,310.0
12,7.19,19,23,20,2.4,2.3,2,200,1.75,310.0
13,7.18,19,23,20,2.4,2.3,2,200,1.75,310.0
14,7.16,19,23,20,2.4,2.3,2,200,1.75,310.0
15,7.15,19,23,20,2.4,2.3,2,200,1.5,310.0
16,7.12,19,23,20,2.4,2.3,2,200,1.5,310.0
17,7.07c,19,23,20,2.4,2.3,2,200,1.5,300.0
18,7.07b,19,23,20,2.4,2.3,2,200,1.5,300.0
19,7.07,19,23,20,2.4,2.3,2,200,1.5,300.0
20,7.06,19,23,20,2.4,2.3,2,200,0.0,305.0
21,7.02,19,23,20,2.1,2.7,2,200,0.25,305.0
22,7.00,19,23,20,2.1,2.7,2,200,0.25,305.0
23,6.88,19,23,20,2.1,2.7,2,200,0.25,305.0
24,6.86,19,23,20,2.1,2.7,2,200,0.25,305.0
25,6.84,19,23,20,2.1,2.7,2,200,0.25,305.0
26,6.82,19,23,20,2.1,2.7,2,200,0.25,305.0
27,6.81,19,23,20,2.1,2.7,2,200,0.25,305.0
28,6.77,19,23,20,2.1,2.7,2,200,0.25,305.0
29,6.76,19,23,20,2.1,2.7,2,200,0.25,305.0
30,6.75,19,23,20,2.1,2.7,2,200,0.25,305.0
31,6.74,19,23,20,2.1,2.7,2,200,0.25,305.0
32,6.73,19,23,20,2.1,2.7,2,200,0.25,305.0
33,6.72,19,23,20,2.1,2.7,2,200,0.25,305.0
34,6.70,19,23,20,2.1,2.7,2,200,0.25,305.0
35,6.68,19,23,20,2.1,2.7,2,200,0.25,305.0
36,6.64,19,23,20,2.1,2.7,2,200,0.25,305.0
37,6.63,19,23,20,2.1,2.7,2,200,0.25,305.0
38,6.60,19,23,20,1.7,2.7,2,200,0.25,305.0
39,6.58,19,23,20,1.7,2.7,2,200,0.25,305.0
40,6.55,19,23,20,1.7,2.7,2,200,0.25,305.0
41,6.50,19,23,20,1.7,2.7,2,200,0.25,305.0
42,6.45,19,23,20,1.7,2.7,2,200,0.25,305.0
43,6.44b,19,23,20,1.7,2.7,2,200,0.25,305.0
44,6.44,19,23,20,1.7,2.7,2,200,0.25,305.0
