,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,15,22,19,1.7,4.8,1.6,200,0.0,315.0
1,7.26b,15,22,19,1.7,4.8,1.6,200,0.0,315.0
2,7.25,15,22,19,1.7,4.8,1.6,200,0.0,315.0
3,7.24,15,22,19,1.7,4.8,1.6,200,0.0,315.0
4,7.23,15,22,19,1.7,4.8,1.6,200,0.0,310.0
5,7.22f,15,22,19,1.7,4.8,1.6,200,0.0,310.0
6,7.22d,15,22,19,1.7,4.8,1.6,200,0.0,310.0
7,7.22c,15,22,19,1.7,4.8,1.6,200,0.0,310.0
8,7.22,15,22,19,1.7,4.8,1.6,200,0.0,310.0
9,7.21,15,22,19,1.7,4.8,1.6,200,0.0,310.0
10,7.20e,15,22,19,1.7,4.2,1.6,200,0.0,310.0
11,7.20,15,22,19,1.7,4.2,1.6,200,0.0,310.0
12,7.19d,15,22,19,1.7,4.2,1.6,200,1.5,310.0
13,7.18,15,22,19,1.7,4.2,1.6,200,1.5,310.0
14,7.17,15,22,19,1.7,3.7,1.6,200,1.5,310.0
15,7.15,15,22,19,1.7,3.2,1.6,200,1.5,310.0
16,7.14,15,22,19,1.7,3.2,1.6,200,1.5,310.0
17,7.10,15,22,19,1.7,3.2,1.6,200,3.25,310.0
18,7.07c,15,22,19,1.7,3.2,1.6,200,3.25,310.0
19,7.07,15,22,19,1.7,3.2,1.75,200,3.25,310.0
20,7.06,15,22,19,1.7,3.2,1.75,200,1.75,315.0
21,7.02,15,22,19,1.4,3.2,1.75,200,2.0,315.0
22,7.00,15,22,19,1.4,3.2,1.75,200,2.0,315.0
23,6.88b,15,22,19,1.4,3.2,1.75,200,2.0,315.0
24,6.88,15,22,19,1.4,3.2,1.75,200,2.0,315.0
25,6.87c,15,22,19,1.4,3.2,1.75,200,2.0,315.0
26,6.87,15,22,19,1.4,3.2,1.75,200,2.0,315.0
27,6.86,15,22,19,1.4,3.2,1.75,200,2.0,315.0
28,6.85,15,22,19,1.4,3.2,1.75,200,2.0,315.0
29,6.84,15,22,19,1.4,3.2,1.75,200,2.0,315.0
30,6.83,15,22,19,1.4,3.2,1.75,200,2.0,315.0
31,6.82c,15,22,19,1.4,3.2,1.75,200,2.0,315.0
32,6.82,15,22,19,1.4,3.2,1.75,200,2.0,315.0
33,6.81,15,22,19,1.4,3.2,1.75,200,2.0,315.0
34,6.80,15,22,19,1.9,3.2,1.75,200,2.0,315.0
35,6.79,15,22,19,1.9,3.2,1.75,200,2.0,315.0
36,6.78,15,22,19,1.9,3.2,1.75,200,2.0,315.0
37,6.77,15,22,19,1.9,3.2,1.75,200,2.0,315.0
38,6.76,15,22,19,1.9,3.2,1.75,200,2.0,310.0
39,6.75,15,22,19,1.9,3.2,1.75,200,2.0,310.0
40,6.73b,15,22,19,1.9,3.2,1.75,200,0.25,310.0
41,6.73,15,22,19,1.9,3.2,1.75,200,0.25,310.0
42,6.72d,15,22,19,1.9,3.2,1.75,200,0.25,310.0
43,6.72c,15,22,19,1.9,3.2,1.75,200,0.25,310.0
44,6.72,15,22,19,1.9,3.2,1.75,200,0.25,310.0
45,6.69,15,22,19,1.9,3.2,1.75,200,0.25,300.0
46,6.67,15,22,19,1.9,3.2,1.75,200,0.25,300.0
47,6.60,15,22,19,1.9,3.2,1.75,200,0.25,300.0
48,6.53,15,22,19,1.9,3.2,1.75,200,0.25,300.0
49,6.50,15,22,19,1.9,3.2,1.75,200,0.25,320.0
50,6.35,15,22,19,1.9,3.2,1.75,200,0.25,320.0
51,6.30,15,22,19,1.9,3.2,1.75,200,0.25,320.0
52,6.28,15,22,19,1.9,3.2,1.75,200,0.25,320.0
53,6.20,15,22,19,1.9,3.2,1.75,200,0.25,320.0
54,6.12b,15,22,19,1.9,3.2,1.75,200,0.25,320.0
55,6.12,15,22,19,1.9,3.2,1.75,200,0.25,320.0
56,6.10,15,22,19,2.3,3.2,1.75,200,0.25,320.0
57,6.04,15,22,19,2.3,3.2,1.75,200,0.25,320.0
58,6.01,15,22,19,2.3,3.2,1.75,200,0.25,320.0
59,6.00,15,22,19,2.3,3.2,1.75,200,0.25,320.0
60,5.80,15,22,19,2.3,3.2,1.75,200,0.25,320.0
61,5.76,15,22,19,2.3,3.2,1.75,200,0.25,320.0
62,5.61,15,22,19,2.3,3.2,1.75,200,0.25,320.0
63,5.60,15,22,19,2.3,3.2,1.75,200,0.25,320.0
64,5.59,15,22,19,2.3,3.2,1.75,200,0.25,320.0
65,5.58,15,22,19,2.3,3.2,1.75,200,0.25,320.0
66,5.57,15,22,19,2.3,3.2,1.75,200,0.25,320.0
67,5.56,15,22,19,2.3,3.2,1.75,200,0.25,320.0
68,5.55,15,22,19,2.3,3.2,1.75,200,0.25,320.0
69,5.51,15,22,19,2.3,3.2,1.75,200,0.25,320.0
70,5.50,15,22,19,2.3,3.2,1.75,200,0.25,320.0
71,5.40,15,22,19,2.3,3.2,1.75,200,0.25,320.0
72,5.35,15,22,19,2.3,3.2,1.75,200,0.25,320.0
73,5.31,15,22,19,2.3,3.2,1.75,200,0.25,320.0
74,5.20,15,22,19,2.3,3.2,1.75,200,0.25,320.0
75,5.10,15,22,19,2.3,3.2,1.75,200,0.25,320.0
76,4.1beta01,15,22,19,2.45,3.2,1.75,200,0.25,320.0
77,4.0beta10,15,22,19,2.3,3.1,1.5,200,0.25,320.0
78,4.0beta9,15,22,19,2.2,3.1,1.5,200,0.25,320.0
79,4.0beta6,15,22,19,2.0,3.0,1.25,200,0.25,320.0
80,4.0beta5,15,22,19,2.0,3.0,1.25,200,0.25,320.0
81,4.0beta3,15,22,19,3.0,1.5,1.25,200,0.25,320.0
82,4.0beta2,15,22,19,3.0,1.5,1.25,200,0.25,320.0
83,2.00,15,22,19,3.0,1.5,1.5,200,0.25,320.0
