,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,18,13,30,2.5,1.2,3.3,200,0.0,290.0
1,7.25,18,13,30,2.5,1.2,3.3,200,0.0,290.0
2,7.24,18,13,30,2.5,1.2,3.3,200,0.0,290.0
3,7.23,18,13,30,2.5,1.2,3.3,200,0.0,290.0
4,7.22f,18,13,30,2.5,1.2,3.3,200,0.0,290.0
5,7.22d,18,13,30,2.5,1.2,3.3,200,0.0,290.0
6,7.22c,18,13,30,2.5,1.2,3.3,200,0.0,290.0
7,7.22,18,13,30,2.5,1.2,3.3,200,0.0,290.0
8,7.21,18,13,30,2.5,1.2,2.5,200,0.0,290.0
9,7.20,18,13,30,2.5,1.2,2.2,200,0.0,290.0
10,7.15,18,13,30,2.3,1.2,2.2,200,1.5,290.0
11,7.10,18,13,30,2.3,1.2,2.2,200,1.5,290.0
12,7.08,18,13,30,2.3,1.2,2.2,200,1.5,290.0
13,7.07d,18,13,30,2.3,1.2,2.2,200,1.5,305.0
14,7.07,18,13,30,2.3,1.2,2.2,200,1.5,305.0
15,7.06,18,13,30,2.3,1.2,2.2,200,0.0,305.0
16,7.02,18,13,30,2.0,1.2,2.2,200,0.25,305.0
17,7.00,18,13,30,2.0,1.2,2.2,200,0.25,305.0
18,6.87,18,13,30,2.0,1.2,2.2,200,0.25,305.0
19,6.86,18,13,30,2.0,1.2,2.2,200,0.25,305.0
20,6.85,18,13,30,2.0,1.2,2.2,200,0.25,305.0
21,6.84,18,13,30,2.0,1.2,2.2,200,0.25,305.0
22,6.83,18,13,30,2.0,1.2,2.2,200,0.25,305.0
23,6.82,18,13,30,2.0,1.2,2.2,200,0.25,305.0
24,6.81,18,13,30,2.0,1.2,2.2,200,0.25,305.0
25,6.80,18,13,30,2.0,1.2,2.2,200,0.25,305.0
26,6.74,18,13,30,2.0,1.2,2.2,200,0.25,305.0
27,6.73,18,13,30,2.0,1.2,2.2,200,0.25,305.0
28,6.72,18,13,30,2.0,1.2,2.2,200,0.25,305.0
29,6.69,18,13,30,2.0,1.2,2.2,200,0.25,305.0
30,6.68,18,13,30,2.0,1.2,2.2,200,0.25,305.0
31,6.60,18,13,30,2.0,1.2,2.2,200,0.25,305.0
32,6.45,18,13,30,2.0,1.2,2.2,200,0.25,305.0
33,6.43,18,13,30,2.0,1.2,2.2,200,0.25,305.0
34,6.35,18,13,30,2.0,1.2,2.2,200,0.25,305.0
35,6.26,18,13,30,2.0,1.2,2.2,200,0.25,285.0
36,6.25,18,13,30,2.0,1.2,2.2,200,0.25,285.0
37,6.22,18,13,30,2.0,1.2,3.0,200,0.25,285.0
38,6.20,18,13,30,2.0,1.2,3.0,200,0.25,290.0
39,6.19b,18,13,30,2.0,1.2,3.0,200,0.25,290.0
40,6.17,18,13,30,2.0,1.2,3.0,200,0.25,290.0
41,6.15,18,13,30,2.0,1.2,3.0,200,0.25,290.0
42,6.04b,18,13,30,2.0,1.2,3.0,200,0.25,290.0
43,6.04,18,13,30,2.0,1.2,3.0,200,0.25,290.0
44,6.03b,18,13,30,2.0,1.2,3.0,200,0.25,290.0
45,6.03,18,13,30,2.0,1.2,3.0,200,0.25,290.0
46,6.00,18,13,30,2.0,1.2,3.0,200,0.25,290.0
47,5.84b,18,13,30,2.0,1.2,3.0,200,0.25,290.0
48,5.80,18,13,30,2.0,1.2,3.0,200,0.25,270.0
49,5.79,18,13,30,2.0,1.2,3.0,200,0.25,270.0
50,5.78,18,13,30,2.0,1.2,3.0,200,0.25,270.0
51,5.77,18,13,30,2.0,1.2,3.0,200,0.25,270.0
52,5.76,18,13,30,2.0,1.2,3.0,200,0.25,270.0
