,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,28,0,17,3.8,0,2.2,200,0.0,310.0
1,7.25,28,0,17,3.8,0,2.2,200,0.0,310.0
2,7.24b,28,0,17,3.8,0,2.2,200,0.0,310.0
3,7.24,28,0,17,3.8,0,2.2,200,0.0,310.0
4,7.23f,28,0,17,3.8,0,2.2,200,0.0,310.0
5,7.23c,28,0,17,4.1,0,2.2,200,0.0,310.0
6,7.23,28,0,17,4.1,0,2.2,200,0.0,310.0
7,7.22h,28,0,17,4.1,0,2.2,200,0.0,290.0
8,7.22g,28,0,17,4.1,0,2.2,200,0.0,290.0
9,7.22,28,0,17,4.1,0,2.2,200,0.0,290.0
10,7.21b,28,0,17,4.1,0,1.6,200,0.0,290.0
11,7.21,28,0,17,4.1,0,1.6,200,0.0,290.0
12,7.20d,28,0,17,3.6,0,1.6,200,0.0,290.0
13,7.20,28,0,17,3.6,0,1.6,200,0.0,285.0
14,7.19b,28,0,17,3.6,0,1.6,200,1.5,285.0
15,7.18,28,0,17,3.6,0,1.6,200,1.5,285.0
16,7.17,28,0,17,3.3,0,1.6,200,1.5,285.0
17,7.16,28,0,17,3.3,0,1.6,200,1.5,280.0
18,7.14,28,0,17,3.3,0,1.6,200,1.5,280.0
19,7.13b,28,0,17,3.3,0,1.6,200,1.5,280.0
20,7.12,28,0,17,3.3,0,1.6,200,1.5,285.0
21,7.10,28,0,17,3.3,0,1.6,200,2.5,285.0
22,7.08,28,0,17,3.3,0,1.6,200,2.5,285.0
23,7.07d,28,0,17,3.3,0,1.6,200,2.5,285.0
24,7.07c,28,0,17,3.3,0,1.6,200,2.5,285.0
25,7.07b,28,0,17,3.3,0,1.6,200,2.5,285.0
26,7.07,28,0,17,3.3,0,1.6,200,2.5,285.0
27,7.06f,28,0,17,3.3,0,1.6,200,0.0,285.0
28,7.06e,28,0,17,3.3,0,1.6,200,0.0,285.0
29,7.06d,28,0,17,3.3,0,1.6,200,0.0,285.0
30,7.06,28,0,17,3.3,0,1.6,200,0.0,285.0
31,7.05,28,0,17,3.0,0,1.6,200,0.25,285.0
32,7.03,28,0,17,3.0,0,1.6,200,0.25,285.0
33,7.02,28,0,17,3.0,0,1.6,200,0.25,285.0
34,7.00,28,0,17,3.0,0,1.6,200,0.25,285.0
35,6.88,28,0,17,3.0,0,1.6,200,0.25,285.0
36,6.87,28,0,17,3.0,0,1.6,200,0.25,285.0
37,6.86,28,0,17,3.0,0,1.6,200,0.25,285.0
38,6.85,28,0,17,3.0,0,1.6,200,0.25,285.0
39,6.84,28,0,17,3.0,0,1.6,200,0.25,285.0
40,6.83,28,0,17,3.0,0,1.6,200,0.25,285.0
41,6.81,28,0,17,3.0,0,1.6,200,0.25,285.0
42,6.79,28,0,17,3.0,0,1.6,200,0.25,285.0
43,6.78,28,0,17,3.0,0,1.6,200,0.25,285.0
44,6.75,28,0,17,3.0,0,1.6,200,0.25,285.0
45,6.73,28,0,17,3.0,0,1.6,200,0.25,285.0
46,6.72d,28,0,17,3.0,0,1.6,200,0.25,285.0
47,6.72c,28,0,17,3.0,0,1.6,200,0.25,285.0
48,6.72,28,0,17,3.0,0,1.6,200,0.25,285.0
49,6.71,28,0,17,3.0,0,1.6,200,0.25,285.0
50,6.70,28,0,17,3.0,0,1.6,200,0.25,285.0
51,6.69,28,0,17,3.0,0,1.6,200,0.25,285.0
52,6.68,28,0,17,3.0,0,1.6,200,0.25,285.0
53,6.67,28,0,17,3.0,0,1.6,200,0.25,285.0
54,6.63,28,0,17,3.0,0,1.6,200,0.25,285.0
55,6.60,28,0,17,3.0,0,1.6,200,0.25,285.0
56,6.58,28,0,17,3.0,0,1.6,200,0.25,285.0
57,6.54,28,0,17,3.0,0,1.6,200,0.25,285.0
58,6.44,28,0,17,3.0,0,1.6,200,0.25,285.0
59,6.33,28,0,17,3.0,0,1.6,200,0.25,285.0
60,6.31,28,0,17,3.0,0,1.6,200,0.25,285.0
61,6.27,28,0,17,3.0,0,1.6,200,0.25,285.0
62,6.25,28,0,17,3.0,0,1.6,200,0.25,285.0
63,6.24,28,0,17,3.0,0,1.6,200,0.25,285.0
64,6.22,28,0,17,3.0,0,1.6,200,0.25,285.0
65,6.20,28,0,17,3.0,0,1.6,200,0.25,285.0
66,6.19,28,0,17,3.0,0,1.6,200,0.25,285.0
67,6.17,28,0,17,3.0,0,1.6,200,0.25,285.0
68,6.14,28,0,17,3.0,0,1.6,200,0.25,285.0
69,6.13,28,0,17,3.0,0,1.6,200,0.25,285.0
70,6.10,28,0,17,3.0,0,1.6,200,0.25,285.0
71,6.07,28,0,17,3.0,0,1.6,200,0.25,285.0
72,6.06,28,0,17,3.0,0,1.6,200,0.25,285.0
73,6.05,28,0,17,3.0,0,1.6,200,0.25,285.0
74,6.04,28,0,17,3.0,0,1.6,200,0.25,285.0
75,6.03b,28,0,17,3.0,0,1.6,200,0.25,285.0
76,6.03,28,0,17,3.0,0,1.6,200,0.25,285.0
77,6.01,28,0,17,3.0,0,1.6,200,0.25,285.0
78,6.00,28,0,17,3.0,0,1.6,200,0.25,285.0
