,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,25,15,20,3.4,2,1.8,200,0.0,280.0
1,7.26b,25,15,20,3.4,2,1.8,200,0.0,280.0
2,7.25,25,15,20,3.4,2,1.8,200,0.0,280.0
3,7.24,25,15,20,3.4,2,1.8,200,0.0,280.0
4,7.23f,25,15,20,3.5,2,1.8,200,0.0,280.0
5,7.23e,25,15,20,3.7,2,1.8,200,0.0,280.0
6,7.23d,25,15,20,4.1,2,1.8,200,0.0,280.0
7,7.23c,25,15,20,4.1,2,1.8,200,0.0,280.0
8,7.23b,25,15,20,4.1,2,1.8,200,0.0,280.0
9,7.23,25,15,20,4.1,2,1.8,200,0.0,280.0
10,7.22c,25,15,20,4.1,2,1.8,200,0.0,270.0
11,7.22,25,15,20,4.1,2,1.8,200,0.0,270.0
12,7.21b,25,15,20,4.1,2,1.8,200,0.0,270.0
13,7.21,25,15,20,4.1,2,1.8,200,0.0,270.0
14,7.20d,25,15,20,3.6,2,1.8,200,0.0,270.0
15,7.20b,25,15,20,3.6,2,1.8,200,0.0,265.0
16,7.20,25,15,20,3.6,2,1.8,200,0.0,265.0
17,7.19d,25,15,20,3.6,2,1.8,200,1.5,265.0
18,7.19,25,15,20,3.6,2,1.8,200,1.5,265.0
19,7.16,25,15,20,3.6,2,1.8,200,1.5,265.0
20,7.14,25,15,20,3.6,2,1.8,200,1.5,265.0
21,7.13b,25,15,20,3.6,2,1.8,200,1.5,265.0
22,7.12,25,15,20,3.6,2,1.8,200,1.5,270.0
23,7.10,25,15,20,3.6,2,1.8,200,1.5,270.0
24,7.07,25,15,20,3.6,2,1.8,200,1.5,270.0
25,7.06d,25,15,20,3.6,2,1.8,200,0.0,270.0
26,7.06c,25,15,20,3.6,2,1.8,200,0.0,280.0
27,7.06,25,15,20,3.6,2,1.8,200,0.0,290.0
28,7.05,25,15,20,3.3,2,1.8,200,0.25,290.0
29,7.03,25,15,20,3.3,2,1.8,200,0.25,295.0
30,7.02,25,15,20,3.3,2,1.8,200,0.25,295.0
31,7.01,25,15,20,3.3,2,1.8,200,0.25,295.0
32,7.00,25,15,20,3.3,2,1.8,200,0.25,300.0
33,6.88c,25,15,20,3.3,2,1.8,200,0.25,300.0
34,6.88b,25,15,20,3.3,2,1.8,200,0.25,300.0
35,6.88,25,15,20,3.3,2,1.8,200,0.25,300.0
36,6.87,25,15,20,3.3,2,1.8,200,0.25,300.0
37,6.86,25,15,20,3.3,2,1.8,200,0.25,300.0
38,6.85,25,15,20,3.3,2,1.8,200,0.25,300.0
39,6.84,25,15,20,3.3,2,1.8,200,0.25,300.0
40,6.83,25,15,20,3.3,2,1.8,200,0.25,300.0
41,6.82,25,15,20,3.3,2,1.8,200,0.25,300.0
42,6.81b,25,15,20,3.3,2,1.8,200,0.25,300.0
43,6.80,25,15,20,3.3,2,1.8,200,0.25,300.0
44,6.79,25,15,20,3.3,2,1.8,200,0.25,300.0
45,6.78c,25,15,20,3.3,2,1.8,200,0.25,300.0
46,6.78,25,15,20,3.3,2,1.8,200,0.25,300.0
47,6.77c,25,15,20,3.3,2,1.8,200,0.25,300.0
48,6.77,25,15,20,3.3,2,1.8,200,0.25,300.0
49,6.76c,25,15,20,3.3,2,1.8,200,0.25,300.0
50,6.76,25,15,20,3.3,2,1.8,200,0.25,300.0
51,6.75,25,15,20,2.8,2,1.8,200,0.25,300.0
52,6.73,25,15,20,2.8,2,1.8,200,0.25,300.0
53,6.72d,25,15,20,2.8,2,1.8,200,0.25,300.0
54,6.72c,25,15,20,2.8,2,1.8,200,0.25,300.0
55,6.72b,25,15,20,2.8,2,1.8,200,0.25,300.0
56,6.72,25,15,20,2.8,2,1.8,200,0.25,300.0
57,6.70,25,15,20,2.8,2,1.8,200,0.25,300.0
58,6.67,25,15,20,2.8,2,1.8,200,0.25,300.0
59,6.63,25,15,20,2.8,2,1.8,200,0.25,300.0
60,6.61,25,15,20,2.8,2,1.8,200,0.25,300.0
61,6.60,25,15,20,2.8,2,1.8,200,0.25,300.0
62,6.58,25,15,20,2.8,2,1.8,200,0.25,300.0
63,6.48b,25,15,20,2.8,2,1.8,200,0.25,300.0
64,6.45,25,15,20,2.8,2,1.8,200,0.25,300.0
65,6.38,25,15,20,2.8,2,1.8,200,0.25,300.0
66,6.35,25,15,20,2.8,2,1.8,200,0.25,300.0
67,6.24,25,15,20,2.8,2,1.8,200,0.25,300.0
68,6.21,25,15,20,2.8,2,1.8,200,0.25,300.0
69,6.20,25,15,20,2.8,2,1.8,200,0.25,300.0
70,6.10,25,15,20,2.8,2,1.8,200,0.25,300.0
71,5.84,25,15,20,2.8,2,1.8,200,0.25,300.0
72,5.79,25,15,20,2.8,2,1.8,200,0.25,300.0
73,5.78,25,15,20,2.8,2,1.8,200,0.25,300.0
74,5.76,25,15,20,2.8,2,1.8,200,0.25,300.0
75,5.75,25,15,20,2.8,2,1.8,200,0.25,300.0
76,5.72,25,15,20,2.8,2,1.8,200,0.25,300.0
77,5.65,25,15,20,2.8,2,1.8,200,0.25,300.0
