,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,21,21,13,2.5,3.3,1,200,0.25,290.0
1,7.24,21,21,13,2.5,3.3,1,200,0.25,290.0
2,7.23,21,21,13,2.5,3.3,1,200,0.25,290.0
3,7.22e,21,21,13,2.5,2.9,1,200,0.25,290.0
4,7.22c,21,21,13,2.5,2.9,1,200,0.25,290.0
5,7.22,21,21,13,2.5,2.9,1,200,0.25,290.0
6,7.21c,21,21,13,2.5,2.9,1,200,0.25,290.0
7,7.21,21,21,13,2.5,2.9,1,200,0.25,290.0
8,7.20,21,21,13,2.5,2.5,1,200,0.25,295.0
9,7.16,21,21,13,2.5,2.5,1,200,1.75,295.0
10,7.15,21,21,13,2.5,2.5,1,200,1.5,295.0
11,7.12,21,21,13,2.5,2.5,1,200,1.5,295.0
12,7.10,21,21,13,2.5,2.5,1,200,1.5,295.0
13,7.07,21,21,13,2.5,2.5,1,200,1.5,295.0
14,7.06c,21,21,13,2.5,2.5,1,200,0.0,300.0
15,7.06b,21,21,13,2.5,2.5,1,200,0.0,300.0
16,7.06,21,21,13,2.5,2.75,1,200,0.0,300.0
17,7.02,21,21,13,2.2,2.75,1,200,0.25,300.0
18,7.00,21,21,13,2.2,2.75,1,200,0.25,300.0
19,6.88,21,21,13,2.2,2.75,1,200,0.25,300.0
20,6.87,21,21,13,2.2,2.75,1,200,0.25,300.0
21,6.86,21,21,13,2.2,2.75,1,200,0.25,300.0
22,6.85,21,21,13,2.2,2.75,1,200,0.25,300.0
23,6.84,21,21,13,2.2,2.75,1,200,0.25,300.0
24,6.82,21,21,13,2.2,2.75,1,200,0.25,300.0
25,6.81,21,21,13,2.2,2.75,1,200,0.25,300.0
26,6.80,21,21,13,2.2,2.75,1,200,0.25,300.0
27,6.79,21,21,13,2.2,2.75,1,200,0.25,300.0
28,6.78,21,21,13,2.2,2.75,1,200,0.25,300.0
29,6.75,21,21,13,2.2,2.75,1,200,0.25,300.0
30,6.74,21,21,13,2.2,2.75,1,200,0.25,300.0
31,6.73,21,21,13,2.2,2.75,1,200,0.25,300.0
32,6.72d,21,21,13,2.2,2.75,1,200,0.25,300.0
33,6.72c,21,21,13,2.2,2.75,1,200,0.25,300.0
34,6.72,21,21,13,2.2,2.75,1,200,0.25,300.0
35,6.69,21,21,13,2.2,2.75,1,200,0.25,300.0
36,6.67,21,21,13,2.2,2.75,1,200,0.25,300.0
37,6.63,21,21,13,2.2,2.75,1,200,0.25,300.0
38,6.60,21,21,13,2.2,2.75,1,200,0.25,300.0
39,6.57,21,21,13,2.2,2.75,1,200,0.25,300.0
40,6.55,21,21,13,2.2,2.75,1,200,0.25,300.0
41,6.50b,21,21,13,2.2,2.75,1,200,0.25,300.0
42,6.50,21,21,13,2.2,2.75,1,200,0.25,300.0
43,6.44,21,21,13,2.2,2.75,1,200,0.25,285.0
44,6.42,21,21,13,2.2,2.75,1,200,0.25,285.0
45,6.39,21,21,13,2.2,2.75,1,200,0.25,285.0
46,6.35,21,21,13,2.2,2.75,1,200,0.25,280.0
47,6.34,21,21,13,2.2,2.75,1,200,0.25,280.0
48,6.29b,21,21,13,2.2,2.75,1,200,0.25,280.0
49,6.25,21,21,13,2.2,2.75,1,200,0.25,280.0
50,6.21,21,21,13,2.2,2.75,1,200,0.25,280.0
51,6.20,21,21,13,1.6,2.75,1,200,0.25,280.0
52,6.17,21,21,13,1.6,2.75,1,200,0.25,280.0
53,6.09,21,21,13,1.6,2.75,1,200,0.25,280.0
54,6.00,21,21,13,1.6,2.75,1,200,0.25,280.0
55,5.65,21,21,13,1.6,2.75,1,200,0.25,280.0
56,5.60,21,21,13,1.6,2.75,1,200,0.25,280.0
57,5.58,21,21,13,1.6,2.75,1,200,0.25,280.0
58,5.55,21,21,13,1.6,2.75,1,200,0.25,280.0
59,5.53,21,21,13,1.6,2.75,1,200,0.25,280.0
60,5.52,21,21,13,1.6,2.75,1,200,0.25,280.0
61,5.41-5.50,21,21,13,1.6,2.75,1,200,0.25,280.0
62,5.40,21,21,13,2.0,2.75,1,200,0.25,280.0
