,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,25,12,17,3.0,1.6,2.3,200,0.0,295.0
1,7.26b,25,12,17,3.3,1.6,2.3,200,0.0,295.0
2,7.24,25,12,17,3.3,1.6,2.3,200,0.0,295.0
3,7.23,25,12,17,3.3,1.6,2.3,200,0.0,295.0
4,7.22f,25,12,17,3.3,1.3,2.3,200,0.0,295.0
5,7.22e,25,12,17,3.3,1.3,2.3,200,0.0,295.0
6,7.22d,25,12,17,3.3,1.3,2.3,200,0.0,295.0
7,7.22c,25,12,17,3.3,1.3,2.3,200,0.0,295.0
8,7.22,25,12,17,3.3,1.3,2.3,200,0.0,295.0
9,7.21,25,12,17,3.3,1.3,2.3,200,0.0,295.0
10,7.20d,25,12,17,2.9,1.3,2.3,200,0.0,290.0
11,7.20b,25,12,17,2.9,1.3,2.3,200,0.0,285.0
12,7.20,25,12,17,2.9,1.3,2.6,200,0.0,285.0
13,7.14,25,12,17,2.9,1.3,2.6,200,1.5,285.0
14,7.13b,25,12,17,2.9,1.3,2.6,200,1.5,285.0
15,7.07c,25,12,17,2.9,1.3,2.6,200,1.5,290.0
16,7.07,25,12,17,2.9,1.3,2.6,200,1.5,290.0
17,7.06d,25,12,17,2.9,1.3,2.6,200,0.0,290.0
18,7.06c,25,12,17,2.9,1.3,2.6,200,0.0,290.0
19,7.06,25,12,17,2.9,1.3,2.6,200,0.0,290.0
20,7.05,25,12,17,2.6,1.3,2.6,200,0.25,290.0
21,7.02,25,12,17,2.6,1.3,2.6,200,0.25,290.0
22,7.01,25,12,17,2.6,1.3,2.6,200,0.25,305.0
23,7.00,25,12,17,2.6,1.3,2.6,200,0.25,305.0
24,6.88f,25,12,17,2.6,1.3,2.6,200,0.25,305.0
25,6.88b,25,12,17,2.6,1.3,2.6,200,0.25,305.0
26,6.87,25,12,17,2.6,1.3,2.6,200,0.25,305.0
27,6.75,25,12,17,2.6,1.3,2.6,200,0.25,305.0
28,6.73,25,12,17,2.6,1.3,2.6,200,0.25,305.0
29,6.72d,25,12,17,2.6,1.3,2.6,200,0.25,305.0
30,6.72c,25,12,17,2.6,1.3,2.6,200,0.25,305.0
31,6.72,25,12,17,2.6,1.3,2.6,200,0.25,305.0
32,6.71,25,12,17,2.6,1.3,2.6,200,0.25,305.0
33,6.69,25,12,17,2.6,1.3,2.6,200,0.25,305.0
34,6.63,25,12,17,2.6,1.3,2.6,200,0.25,305.0
35,6.52,25,12,17,2.6,1.3,2.6,200,0.25,305.0
36,6.50,25,12,17,2.6,1.3,2.6,200,0.25,305.0
37,6.49,25,12,17,2.6,1.3,2.6,200,0.25,305.0
38,6.45,25,12,17,2.6,1.3,2.6,200,0.25,295.0
39,6.44b,25,12,17,2.6,1.3,2.6,200,0.25,295.0
40,6.44,25,12,17,2.6,1.3,2.2,200,0.25,295.0
