,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,24,18,16,2.6,2.4,1.5,200,0.5,310.0
1,7.26b,24,18,16,2.8,2.4,1.5,200,0.5,310.0
2,7.25a,24,18,16,2.8,2.4,1.5,200,0.5,310.0
3,7.25,24,18,16,2.8,2.4,1.5,200,0.5,315.0
4,7.23f,24,18,16,2.8,2.4,1.5,200,0.5,315.0
5,7.23e,24,18,16,2.8,2.4,1.5,200,0.5,315.0
6,7.23c,24,18,16,3.1,2.4,1.5,200,0.5,315.0
7,7.23a,24,18,16,3.3,2.4,1.5,200,0.5,315.0
8,7.23,24,18,16,3.3,2.4,1.5,200,0.5,315.0
9,7.22g,24,18,16,3.3,2.4,1.5,200,0.5,325.0
10,7.21d,24,18,16,3.3,2.4,1.5,200,0.5,325.0
11,7.21c,24,18,16,3.3,2.4,1.5,200,0.5,325.0
12,7.21b,24,18,16,3.3,2.4,1.5,200,0.5,330.0
13,7.21,24,18,16,3.3,2.4,1.5,200,0.5,330.0
14,7.20e,24,18,16,3.3,2.1,1.5,200,0.5,315.0
15,7.20c,24,18,16,3.3,2.1,1.5,200,0.5,305.0
16,7.20,24,18,16,3.3,2.1,1.5,200,0.5,305.0
17,7.19d,24,18,16,3.3,2.1,1.5,200,2.0,305.0
18,7.19c,24,18,16,3.3,2.1,1.5,200,2.0,305.0
19,7.19b,24,18,16,3.3,2.1,1.5,200,2.0,305.0
20,7.18,24,18,16,3.3,2.1,1.5,200,2.0,305.0
21,7.17,24,18,16,3.3,2.1,1.5,200,2.0,305.0
22,7.16,24,18,16,3.3,2.1,1.5,200,2.0,305.0
23,7.15,24,18,16,3.3,2.1,1.5,200,2.0,305.0
24,7.14,24,18,16,3.3,2.1,1.5,200,2.0,305.0
25,7.13b,24,18,16,3.3,2.1,1.5,200,2.0,305.0
26,7.10,24,18,16,3.0,2.1,1.5,200,2.0,305.0
27,7.07,24,18,16,3.0,2.1,1.5,200,2.0,305.0
28,7.06,24,18,16,3.0,2.1,1.5,200,0.5,310.0
29,7.02,24,18,16,2.7,2.1,1.5,200,0.75,310.0
30,7.00,24,18,16,2.7,2.1,1.5,200,0.75,310.0
31,6.88,24,18,16,2.7,2.1,1.5,200,0.75,310.0
32,6.87,24,18,16,2.7,2.1,1.5,200,0.25,310.0
33,6.86,24,18,16,2.7,2.1,1.5,200,0.25,310.0
34,6.85,24,18,16,2.7,2.1,1.5,200,0.25,310.0
35,6.84b,24,18,16,2.7,2.1,1.5,200,0.25,310.0
36,6.84,24,18,16,2.7,2.1,1.5,200,0.25,310.0
37,6.82,24,18,16,2.7,2.1,1.5,200,0.25,310.0
38,6.81,24,18,16,2.7,2.1,1.5,200,0.25,310.0
39,6.78,24,18,16,2.7,2.1,1.5,200,0.25,310.0
40,6.75,24,18,16,2.7,2.1,1.5,200,0.25,310.0
41,6.73,24,18,16,2.7,2.1,1.5,200,0.25,310.0
42,6.72d,24,18,16,2.7,2.1,1.5,200,0.25,310.0
43,6.72c,24,18,16,2.7,2.1,1.5,200,0.25,310.0
44,6.72,24,18,16,2.7,2.1,1.5,200,0.25,310.0
45,6.66,24,18,16,2.7,2.1,1.5,200,0.25,310.0
46,6.65,24,18,16,2.7,2.1,1.5,200,0.25,310.0
47,6.63,24,18,16,2.7,2.1,1.5,200,0.25,310.0
48,6.60,24,18,16,2.7,2.1,1.5,200,0.25,310.0
49,6.59,24,18,16,2.7,2.1,1.5,200,0.25,310.0
50,6.58,24,18,16,2.7,2.1,1.5,200,0.25,310.0
51,6.44,24,18,16,2.7,2.1,1.5,200,0.25,310.0
52,6.39,24,18,16,2.7,2.1,1.5,200,0.25,310.0
53,6.38,24,18,16,2.7,2.1,1.5,200,0.25,310.0
54,6.36,24,18,16,2.7,2.1,1.5,200,0.25,310.0
55,6.35,24,18,16,2.7,2.1,1.5,200,0.25,310.0
56,6.25,24,18,16,2.7,2.1,1.5,200,0.25,310.0
57,6.24,24,18,16,2.7,2.1,1.5,200,0.25,310.0
58,6.19,24,18,16,2.7,2.1,1.5,200,0.25,310.0
59,6.17,24,18,16,2.7,2.1,1.5,200,0.25,310.0
60,6.14,24,18,16,2.7,2.1,1.5,200,0.25,310.0
61,6.13,24,18,16,2.7,2.1,1.5,200,0.25,310.0
62,6.00,24,18,16,2.7,2.1,1.5,200,0.25,310.0
63,5.78,24,18,16,2.7,2.1,1.5,200,0.25,310.0
64,5.77,24,18,16,2.7,2.1,1.5,200,0.25,310.0
65,5.76,24,18,16,2.7,2.1,1.5,200,0.25,310.0
66,5.75,24,18,16,2.7,2.1,1.5,200,0.25,310.0
