,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,21,15,2.4,2.5,1.8,200,0.0,275.0
1,7.26b,21,21,15,2.4,2.5,1.8,200,0.0,275.0
2,7.25,21,21,15,2.4,2.5,1.8,200,0.0,275.0
3,7.23f,21,21,15,2.4,2.5,1.8,200,0.0,275.0
4,7.23,21,21,15,2.4,2.5,1.8,200,0.0,275.0
5,7.22f,21,21,15,2.4,2.5,1.8,200,0.0,275.0
6,7.22e,21,21,15,2.4,2.5,1.8,200,0.0,275.0
7,7.22d,21,21,15,2.4,2.5,1.8,200,0.0,275.0
8,7.21d,21,21,15,2.4,2.5,1.8,200,0.0,275.0
9,7.21c,21,21,15,2.4,2.8,1.8,200,0.0,275.0
10,7.21,21,21,15,2.4,3.3,1.8,200,0.0,275.0
11,7.20,21,21,15,2.4,2.9,1.8,200,0.0,275.0
12,7.15,21,21,15,2.4,2.9,1.8,200,1.5,275.0
13,7.07,21,21,15,2.4,2.9,1.8,200,1.5,275.0
14,7.06d,21,21,15,2.4,2.9,1.8,200,0.0,285.0
15,7.06c,21,21,15,2.4,2.9,1.8,200,0.0,285.0
16,7.06,21,21,15,2.4,2.9,1.8,200,0.0,285.0
17,7.05,21,21,15,2.1,2.9,1.8,200,0.25,285.0
18,7.03,21,21,15,2.1,2.9,1.8,200,0.25,285.0
19,7.02,21,21,15,2.1,2.9,1.8,200,0.25,285.0
20,7.00,21,21,15,2.1,2.9,1.8,200,0.25,285.0
21,6.88,21,21,15,2.1,2.9,1.8,200,0.25,285.0
22,6.87,21,21,15,1.9,2.9,1.8,200,0.25,285.0
23,6.85,21,21,15,1.9,2.9,1.8,200,0.25,285.0
24,6.84,21,21,15,1.9,2.5,1.8,200,0.25,285.0
25,6.82,21,21,15,1.9,2.5,1.8,200,0.25,285.0
26,6.79,21,21,15,1.9,2.5,1.8,200,0.25,285.0
27,6.78,21,21,15,1.9,2.5,1.8,200,0.25,285.0
28,6.77,21,21,15,1.9,2.5,1.8,200,0.25,285.0
29,6.75,21,21,15,1.9,2.5,1.8,200,0.25,285.0
30,6.74,21,21,15,1.9,2.5,1.8,200,0.25,285.0
31,6.72,21,21,15,1.9,2.5,1.8,200,0.25,285.0
32,6.71,21,21,15,1.9,2.5,1.8,200,0.25,285.0
33,6.69,21,21,15,1.9,2.5,1.8,200,0.25,285.0
34,6.68,21,21,15,1.9,2.5,1.8,200,0.25,285.0
35,6.64,21,21,15,1.9,2.5,1.8,200,0.25,285.0
36,6.63,21,21,15,1.9,2.5,1.8,200,0.25,290.0
37,6.61,21,21,15,1.9,2.5,1.8,200,0.25,300.0
38,6.60,21,21,15,1.9,2.5,1.8,200,0.25,300.0
39,6.58,21,21,15,1.9,2.5,1.8,200,0.25,300.0
40,6.39,21,21,15,1.9,2.5,1.8,200,0.25,300.0
41,6.36,21,21,15,1.9,2.5,1.8,200,0.25,300.0
42,6.33,21,21,15,1.9,2.5,1.8,200,0.25,300.0
43,6.31,21,21,15,1.9,2.5,1.8,200,0.25,300.0
44,6.26,21,21,15,1.9,2.5,1.8,200,0.25,300.0
45,6.17,21,21,15,1.9,2.5,1.8,200,0.25,300.0
46,6.13,21,21,15,1.9,2.5,1.8,200,0.25,300.0
47,6.04,21,21,15,1.9,2.5,1.8,200,0.25,300.0
48,6.00,21,21,15,1.9,2.5,1.8,200,0.25,300.0
49,5.79,21,21,15,1.9,2.5,1.8,200,0.25,300.0
50,5.75,21,21,15,1.9,2.5,1.8,200,0.25,300.0
51,5.72,21,21,15,1.9,2.5,1.8,200,0.25,300.0
52,5.62,21,21,15,1.9,2.5,1.8,200,0.25,300.0
53,5.61,21,21,15,1.9,2.5,1.8,200,0.25,300.0
54,5.58,21,21,15,1.9,2.5,1.8,200,0.25,300.0
55,5.57,21,21,15,1.9,2.5,2.0,200,0.25,300.0
56,5.55,21,21,15,1.9,2.5,2.0,200,0.25,300.0
57,5.54,21,21,15,1.9,2.5,2.0,200,0.25,300.0
58,5.50,21,21,15,1.9,2.5,2.0,200,0.25,300.0
59,5.40,21,21,15,1.9,2.5,2.0,200,0.25,300.0
60,5.35,21,21,15,1.9,2.5,2.0,200,0.25,300.0
61,5.31,21,21,15,1.9,2.5,2.0,200,0.25,300.0
62,4.0beta10,21,21,15,1.9,2.5,2.0,200,0.25,300.0
63,4.0beta6,21,21,15,1.9,2.5,2.0,200,0.25,300.0
64,4.0beta5,21,21,15,1.9,2.5,2.0,200,0.25,300.0
65,4.0beta2,21,21,15,1.9,2.5,2.0,200,0.25,300.0
66,3.2j,21,21,15,1.9,2.5,2.0,200,0.25,300.0
67,2.60,21,21,15,1.9,2.5,2.0,200,0.25,300.0
68,0.96b,21,21,15,1.9,2.5,2.0,200,0.25,300.0
69,0.60,21,21,15,1.9,2.5,2.0,200,0.25,300.0
