,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,22,11,22,3.0,2.0,2.9,200,0.0,285.0
1,7.25a,22,11,22,3.0,2.0,2.9,200,0.0,285.0
2,7.25,22,11,22,3.0,2.0,2.9,200,0.0,285.0
3,7.24,22,11,22,3.0,2.0,2.9,200,0.0,285.0
4,7.23e,22,11,22,3.0,2.0,2.9,200,0.0,285.0
5,7.23c,22,11,22,3.0,2.0,2.9,200,0.0,285.0
6,7.23,22,11,22,3.0,2.0,2.9,200,0.0,285.0
7,7.22e,22,11,22,3.0,2.0,2.9,200,0.0,285.0
8,7.22d,22,11,22,3.0,2.0,2.9,200,0.0,285.0
9,7.22,22,11,22,3.0,2.0,2.9,200,0.0,285.0
10,7.21b,22,11,22,3.0,2.0,2.9,200,0.0,285.0
11,7.21,22,11,22,3.0,2.0,2.9,200,0.0,285.0
12,7.20c,22,11,22,3.0,2.0,2.45,200,0.0,285.0
13,7.20,22,11,22,3.2,2.0,2.45,200,0.0,285.0
14,7.19,22,11,22,2.7,2.0,2.45,200,1.5,285.0
15,7.15,22,11,22,2.7,2.0,2.45,200,1.5,285.0
16,7.14,22,11,22,2.7,2.0,2.45,200,1.5,285.0
17,7.13b,22,11,22,2.7,2.0,2.45,200,1.5,285.0
18,7.10,22,11,22,2.7,2.0,2.45,200,1.5,285.0
19,7.07b,22,11,22,2.7,2.0,2.45,200,1.5,285.0
20,7.07,22,11,22,2.7,2.0,2.45,200,1.5,285.0
21,7.06e,22,11,22,2.7,2.0,2.45,200,0.0,285.0
22,7.06d,22,11,22,2.7,2.0,2.45,200,0.0,285.0
23,7.06,22,11,22,2.7,2.0,2.45,200,0.0,285.0
24,7.03,22,11,22,1.75,2.0,2.45,200,0.25,285.0
25,7.02,22,11,22,1.75,2.0,2.45,200,0.25,285.0
26,7.01,22,11,22,1.75,2.0,2.45,200,0.25,285.0
27,7.00,22,11,22,1.75,2.0,2.45,200,0.25,285.0
28,6.88c,22,11,22,1.75,2.0,2.45,200,0.25,285.0
29,6.88b,22,11,22,1.75,2.0,2.45,200,0.25,285.0
30,6.88,22,11,22,1.75,2.0,2.45,200,0.25,285.0
31,6.87c,22,11,22,1.75,2.0,2.45,200,0.25,285.0
32,6.87,22,11,22,1.75,2.0,2.45,200,0.25,285.0
33,6.86,22,11,22,1.75,2.0,2.45,200,0.25,285.0
34,6.85,22,11,22,1.75,2.0,2.45,200,0.25,285.0
35,6.84b,22,11,22,1.75,2.0,2.45,200,0.25,285.0
36,6.84,22,11,22,1.75,2.0,2.45,200,0.25,285.0
37,6.83,22,11,22,1.75,2.0,2.45,200,0.25,285.0
38,6.82,22,11,22,1.75,2.0,2.45,200,0.25,285.0
39,6.81,22,11,22,1.75,2.0,2.45,200,0.25,285.0
40,6.80,22,11,22,1.75,2.0,2.45,200,0.25,285.0
41,6.79c,22,11,22,1.75,2.0,2.45,200,0.25,290.0
42,6.79,22,11,22,1.75,2.0,2.45,200,0.25,295.0
43,6.75,22,11,22,1.75,2.0,2.45,200,0.25,295.0
44,6.74,22,11,22,1.75,2.0,2.45,200,0.25,295.0
45,6.73,22,11,22,1.75,2.0,2.45,200,0.25,295.0
46,6.72,22,11,22,1.75,2.0,2.45,200,0.25,295.0
47,6.68,22,11,22,1.75,2.0,2.45,200,0.25,295.0
48,6.67,22,11,22,1.75,2.0,2.45,200,0.25,295.0
49,6.66,22,11,22,1.75,2.0,2.45,200,0.25,295.0
50,6.65,22,11,22,1.75,2.0,2.45,200,0.25,295.0
51,6.58,22,11,22,1.75,2.0,2.45,200,0.25,285.0
52,6.55,22,11,22,1.75,2.0,2.45,200,0.25,285.0
53,6.53,22,11,22,1.75,2.0,2.45,200,0.25,285.0
54,6.50,22,11,22,1.75,2.0,2.45,200,0.25,285.0
55,6.36b,22,11,22,1.75,2.0,2.45,200,0.25,285.0
56,6.36,22,11,22,1.75,2.0,2.45,200,0.25,285.0
57,6.33,22,11,22,1.75,2.0,2.45,200,0.25,285.0
58,6.31,22,11,22,1.75,2.0,2.45,200,0.25,285.0
59,6.28,22,11,22,1.75,2.0,2.45,200,0.25,285.0
60,6.20,22,11,22,1.75,2.0,2.45,200,0.25,285.0
61,6.19,22,11,22,1.75,2.0,2.45,200,0.25,285.0
62,6.17,22,11,22,1.75,2.0,2.45,200,0.25,285.0
63,6.13,22,11,22,1.75,2.0,2.45,200,0.25,285.0
64,6.07,22,11,22,1.75,2.0,2.45,200,0.25,285.0
65,6.05,22,11,22,1.75,2.0,2.45,200,0.25,285.0
66,6.02,22,11,22,1.75,2.0,2.45,200,0.25,285.0
67,6.00,22,11,22,1.75,2.0,2.45,200,0.25,285.0
68,5.83,22,11,22,1.75,2.0,2.45,200,0.25,285.0
69,5.82,22,11,22,1.75,2.0,2.45,200,0.25,285.0
70,5.80,22,11,22,1.75,2.0,2.45,200,0.25,285.0
71,5.77,22,11,22,1.75,2.0,2.45,200,0.25,285.0
72,5.72,22,11,22,1.75,2.0,2.45,200,0.25,285.0
73,5.71,22,11,22,1.75,2.0,2.45,200,0.25,285.0
74,5.61,22,11,22,1.75,2.0,2.45,200,0.25,285.0
75,5.58,22,11,22,1.75,2.0,2.45,200,0.25,285.0
76,5.56,22,11,22,2.0,2.5,2.75,200,0.25,285.0
77,5.55,22,11,22,1.75,2.5,2.6,200,0.25,285.0
78,5.53,22,11,22,1.75,2.5,2.5,200,0.25,285.0
79,5.51,22,11,22,1.75,2.5,2.5,200,0.25,285.0
80,5.50,22,11,22,1.75,2.5,2.5,200,0.25,285.0
81,5.40,22,11,22,2.0,2.8,3.5,200,0.25,285.0
82,5.32,22,11,22,2.0,2.8,3.5,200,0.25,285.0
83,5.31,22,11,22,2.0,2.8,3.5,200,0.25,285.0
84,4.1beta01,22,11,22,2.0,3.0,2.5,200,0.25,285.0
85,4.0beta10,22,11,22,2.0,3.0,2.5,200,0.25,285.0
86,4.0beta6,22,11,22,2.0,3.0,2.5,200,0.25,285.0
87,4.0beta5,22,11,22,2.0,3.0,2.5,200,0.25,285.0
88,4.0beta2,22,11,22,2.0,3.0,2.5,200,0.25,285.0
89,3.2j,22,11,22,2.0,1.5,3.0,200,0.25,285.0
90,3.00a,22,11,22,2.0,1.5,3.0,200,0.25,285.0
91,2.60,22,11,22,2.0,1.5,3.0,200,0.25,285.0
92,0.96b,22,11,22,2.0,1.5,3.0,200,0.25,400.0
93,0.60,22,11,22,1.5,1.5,3.0,200,0.25,400.0
