,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,19,24,2.6,2.2,3.1,200,,295.0
1,7.26b,22,19,24,2.6,2.2,3.1,200,,300.0
2,7.26a,22,19,24,2.6,2.2,3.1,200,,300.0
3,7.25,22,19,24,2.6,2.2,3.1,200,,300.0
4,7.24b,22,19,24,2.6,2.2,3.1,200,,300.0
5,7.24,22,19,24,2.6,2.2,3.1,200,,305.0
6,7.23e,22,19,24,2.6,2.2,3.1,200,,305.0
7,7.23b,22,19,24,2.8,2.2,3.1,200,,305.0
8,7.23a,22,19,24,2.8,2.2,3.1,200,,305.0
9,7.23,22,19,24,2.5,2.2,3.1,200,,305.0
