,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,26,10,25,3.0,1,3.1,200,0.0,290.0
1,7.25,26,10,25,3.0,1,3.1,200,0.0,290.0
2,7.24,26,10,25,3.0,1,3.1,200,0.0,290.0
3,7.23e,26,10,25,3.0,1,3.1,200,0.0,290.0
4,7.23c,26,10,25,3.0,1,3.1,200,0.0,290.0
5,7.23,26,10,25,3.0,1,3.1,200,0.0,290.0
6,7.22d,26,10,25,3.0,1,3.1,200,0.0,290.0
7,7.22c,26,10,25,3.0,1,3.1,200,0.0,290.0
8,7.22,26,10,25,3.0,1,3.1,200,0.0,290.0
9,7.21b,26,10,25,3.0,1,3.1,200,0.0,290.0
10,7.21,26,10,25,3.0,1,3.1,200,0.0,290.0
11,7.20,26,10,25,3.0,1,2.7,200,0.0,295.0
12,7.18,26,10,25,2.8,1,2.7,200,1.5,295.0
13,7.15,26,10,25,2.8,1,2.7,200,1.5,295.0
14,7.14,26,10,25,2.8,1,2.7,200,1.5,295.0
15,7.13b,26,10,25,2.8,1,2.7,200,1.5,295.0
16,7.12,26,10,25,2.8,1,2.7,200,1.5,295.0
17,7.10,26,10,25,2.8,1,2.7,200,1.5,295.0
18,7.07,26,10,25,2.8,1,2.7,200,1.5,295.0
19,7.06c,26,10,25,2.8,1,2.7,200,0.0,295.0
20,7.06,26,10,25,2.8,1,2.7,200,0.0,295.0
21,7.02,26,10,25,2.5,1,2.7,200,0.25,295.0
22,7.00,26,10,25,2.5,1,2.7,200,0.25,295.0
23,6.88b,26,10,25,2.5,1,2.7,200,0.25,295.0
24,6.88,26,10,25,2.5,1,2.7,200,0.25,295.0
25,6.87,26,10,25,2.5,1,2.7,200,0.25,295.0
26,6.86,26,10,25,2.5,1,2.7,200,0.25,295.0
27,6.85,26,10,25,2.5,1,2.7,200,0.25,295.0
28,6.84,26,10,25,2.5,1,2.7,200,0.25,295.0
29,6.83,26,10,25,2.5,1,2.7,200,0.25,295.0
30,6.82c,26,10,25,2.5,1,2.7,200,0.25,295.0
31,6.82,26,10,25,2.5,1,2.7,200,0.25,295.0
32,6.81,26,10,25,2.5,1,2.7,200,0.25,295.0
33,6.80,26,10,25,2.5,1,2.7,200,0.25,295.0
34,6.79,26,10,25,2.5,1,2.7,200,0.25,295.0
35,6.77,26,10,25,2.5,1,2.7,200,0.25,295.0
36,6.76,26,10,25,2.5,1,2.7,200,0.25,295.0
37,6.75,26,10,25,2.5,1,2.7,200,0.25,295.0
38,6.74,26,10,25,2.5,1,2.7,200,0.25,295.0
39,6.73,26,10,25,2.5,1,2.7,200,0.25,295.0
40,6.72c,26,10,25,2.5,1,2.7,200,0.25,295.0
41,6.72,26,10,25,2.5,1,2.7,200,0.25,295.0
42,6.71,26,10,25,2.5,1,2.7,200,0.25,295.0
43,6.70,26,10,25,2.5,1,2.7,200,0.25,295.0
44,6.69,26,10,25,2.5,1,2.7,200,0.25,295.0
45,6.68,26,10,25,2.5,1,2.7,200,0.25,295.0
46,6.66,26,10,25,2.5,1,2.7,200,0.25,295.0
47,6.65,26,10,25,2.5,1,2.7,200,0.25,295.0
48,6.64,26,10,25,2.5,1,2.7,200,0.25,295.0
49,6.60,26,10,25,2.5,1,2.7,200,0.25,295.0
50,6.58,26,10,25,2.5,1,2.7,200,0.25,295.0
51,6.52b,26,10,25,2.5,1,2.7,200,0.25,295.0
52,6.52,26,10,25,2.5,1,2.7,200,0.25,295.0
53,6.45,26,10,25,2.5,1,2.7,200,0.25,295.0
54,6.44,26,10,25,2.5,1,2.7,200,0.25,295.0
55,6.42,26,10,25,2.5,1,2.7,200,0.25,295.0
56,6.41,26,10,25,2.5,1,2.7,200,0.25,295.0
57,6.39b,26,10,25,2.5,1,2.7,200,0.25,295.0
58,6.39,26,10,25,2.5,1,2.7,200,0.25,295.0
59,6.38,26,10,25,2.5,1,2.7,200,0.25,305.0
60,6.36b,26,10,25,2.5,1,2.7,200,0.25,305.0
61,6.36,26,10,25,2.5,1,2.7,200,0.25,305.0
