,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,16,14,16,2.0,3.1,2,200,1.0,275.0
1,7.25b,16,14,16,2.0,3.1,2,200,1.0,275.0
2,7.25,16,14,16,2.0,3.6,2,200,1.0,275.0
3,7.24,16,14,16,2.0,3.6,2,200,1.0,275.0
4,7.23e,16,14,16,2.0,3.6,2,200,1.0,275.0
5,7.23c,16,14,16,2.0,3.6,2,200,1.0,275.0
6,7.23,16,14,16,2.0,3.6,2,200,1.0,275.0
7,7.22f,16,14,16,2.0,3.6,2,200,1.0,275.0
8,7.22e,16,14,16,2.0,3.6,2,200,1.0,275.0
9,7.22c,16,14,16,1.8,3.6,2,200,1.0,275.0
10,7.22,16,14,16,1.8,3.6,2,200,1.0,275.0
11,7.21b,16,14,16,1.8,3.6,2,200,1.0,275.0
12,7.21,16,14,16,1.8,3.6,2,200,1.0,275.0
13,7.20,16,14,16,1.8,3.1,2,200,1.0,275.0
14,7.19d,16,14,16,1.8,3.1,2,200,2.5,275.0
15,7.19c,16,14,16,1.8,3.1,2,200,2.5,275.0
16,7.19b,16,14,16,1.8,3.1,2,200,2.5,275.0
17,7.19,16,14,16,1.8,3.1,2,200,2.5,275.0
18,7.18,16,14,16,1.8,3.1,2,200,2.5,280.0
19,7.16,16,14,16,1.8,2.8,2,200,2.5,280.0
20,7.15,16,14,16,1.8,2.8,2,200,2.5,280.0
21,7.14,16,14,16,1.8,2.8,2,200,2.5,280.0
22,7.10,16,14,16,1.8,2.8,2,200,1.5,280.0
23,7.07,16,14,16,1.8,2.8,2,200,1.5,280.0
24,7.06,16,14,16,1.8,2.8,2,200,0.0,285.0
25,7.03,16,14,16,1.5,2.8,2,200,0.25,285.0
26,7.02,16,14,16,1.5,2.8,2,200,0.25,350.0
27,7.01,16,14,16,1.5,2.8,2,200,0.25,350.0
28,7.00,16,14,16,1.5,2.8,2,200,0.25,350.0
29,6.88,16,14,16,1.5,2.8,2,200,0.25,350.0
30,6.87,16,14,16,1.5,2.8,2,200,0.25,350.0
31,6.86,16,14,16,1.5,2.8,2,200,0.25,350.0
32,6.85,16,14,16,1.5,2.8,2,200,0.25,350.0
33,6.84,16,14,16,1.5,2.8,2,200,0.25,350.0
34,6.82,16,14,16,1.5,2.8,2,200,0.25,350.0
35,6.79,16,14,16,1.5,2.8,2,200,0.25,350.0
36,6.77,16,14,16,1.5,2.8,2,200,0.25,350.0
37,6.76,16,14,16,1.5,2.8,2,200,0.25,350.0
38,6.75,16,14,16,1.5,2.8,2,200,0.25,350.0
39,6.72,16,14,16,1.5,2.8,2,200,0.25,350.0
40,6.70,16,14,16,1.5,2.8,2,200,0.25,350.0
41,6.68,16,14,16,1.5,2.8,2,200,0.25,350.0
42,6.67c,16,14,16,1.5,2.8,2,200,0.25,350.0
43,6.67,16,14,16,1.5,2.8,2,200,0.25,350.0
44,6.64,16,14,16,1.5,2.8,2,200,0.25,350.0
45,6.63,16,14,16,1.5,2.8,2,200,0.25,350.0
46,6.61,16,14,16,1.5,2.8,2,200,0.25,350.0
47,6.55,16,14,16,1.5,2.8,2,200,0.25,350.0
48,6.52,16,14,16,1.5,2.8,2,200,0.25,350.0
49,6.50,16,14,16,1.5,2.8,2,200,0.25,350.0
50,6.42,16,14,16,1.5,2.8,2,200,0.25,350.0
51,6.41,16,14,16,1.5,2.8,2,200,0.25,350.0
52,6.40,16,14,16,1.5,2.8,2,200,0.25,350.0
53,6.39,16,14,16,1.5,2.8,2,200,0.25,350.0
54,6.38,16,14,16,1.5,2.8,2,200,0.25,350.0
55,6.35,16,14,16,1.5,2.8,2,200,0.25,350.0
56,6.34,16,14,16,1.5,2.8,2,200,0.25,350.0
57,6.33b,16,14,16,1.5,2.8,2,200,0.25,350.0
58,6.33,16,14,16,1.5,2.8,2,200,0.25,350.0
59,6.32,16,14,16,1.5,2.8,2,200,0.25,300.0
60,6.28,16,14,16,1.5,2.8,2,200,0.25,300.0
61,6.22,16,14,16,1.5,2.8,2,200,0.25,300.0
62,6.20,16,14,16,1.5,2.8,2,200,0.25,300.0
63,6.17,16,14,16,1.5,2.8,2,200,0.25,300.0
64,6.13,16,14,16,1.5,2.8,2,200,0.25,300.0
65,6.07,16,14,16,1.5,2.8,2,200,0.25,300.0
66,6.03,16,14,16,1.5,2.8,2,200,0.25,300.0
67,6.02,16,14,16,1.5,2.8,2,200,0.25,300.0
68,6.00,16,14,16,1.5,2.8,2,200,0.25,300.0
