,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,18,13,22,2.3,1.4,3.3,200,0.0,300.0
1,7.25,18,13,22,2.3,1.4,3.3,200,0.0,300.0
2,7.24,18,13,22,2.3,1.4,3.3,200,0.0,300.0
3,7.23,18,13,22,2.3,1.4,3.3,200,0.0,300.0
4,7.22,18,13,22,2.3,1.4,3.3,200,0.0,300.0
5,7.21,18,13,22,2.3,1.4,3.3,200,0.0,300.0
6,7.20,18,13,22,2.3,1.4,2.9,200,0.0,305.0
7,7.18,18,13,22,2.1,1.4,2.9,200,1.5,305.0
8,7.15,18,13,22,2.1,1.4,2.9,200,1.5,305.0
9,7.14,18,13,22,2.1,1.4,2.9,200,1.5,305.0
10,7.13b,18,13,22,2.1,1.4,2.9,200,1.5,305.0
11,7.07,18,13,22,2.1,1.4,2.9,200,1.5,305.0
12,7.06,18,13,22,2.1,1.4,2.9,200,0.0,305.0
13,7.02,18,13,22,1.8,1.4,2.9,200,0.25,305.0
14,7.01,18,13,22,1.8,1.4,2.9,200,0.25,305.0
15,7.00,18,13,22,1.8,1.4,2.9,200,0.25,305.0
16,6.86,18,13,22,1.8,1.4,2.9,200,0.25,305.0
17,6.85,18,13,22,1.8,1.4,2.9,200,0.25,305.0
18,6.82,18,13,22,1.8,1.4,2.9,200,0.25,305.0
19,6.81,18,13,22,1.8,1.4,2.9,200,0.25,305.0
20,6.80,18,13,22,1.8,1.4,2.9,200,0.25,305.0
21,6.79,18,13,22,1.8,1.4,2.9,200,0.25,305.0
22,6.78,18,13,22,1.8,1.4,2.9,200,0.25,305.0
23,6.76,18,13,22,1.8,1.4,2.9,200,0.25,305.0
24,6.75,18,13,22,1.8,1.4,2.9,200,0.25,305.0
25,6.72,18,13,22,1.8,1.4,2.9,200,0.25,305.0
26,6.69,18,13,22,1.8,1.4,2.9,200,0.25,305.0
27,6.65,18,13,22,1.8,1.4,2.9,200,0.25,305.0
28,6.63,18,13,22,1.8,1.4,2.9,200,0.25,305.0
29,6.61,18,13,22,1.8,1.4,2.9,200,0.25,305.0
30,6.60,18,13,22,1.8,1.4,2.9,200,0.25,305.0
31,6.58,18,13,22,1.8,1.4,2.9,200,0.25,305.0
32,6.57,18,13,22,1.8,1.4,2.9,200,0.25,305.0
33,6.54,18,13,22,1.8,1.4,2.9,200,0.25,305.0
34,6.51,18,13,22,1.8,1.4,2.9,200,0.25,305.0
35,6.50,18,13,22,1.8,1.4,2.9,200,0.25,305.0
36,6.45,18,13,22,1.8,1.4,2.9,200,0.25,305.0
37,6.40,18,13,22,1.8,1.4,2.9,200,0.25,305.0
38,6.39,18,13,22,1.8,1.4,2.9,200,0.25,305.0
39,6.35,18,13,22,1.8,1.4,2.9,200,0.25,305.0
40,6.33,18,13,22,1.8,1.4,2.9,200,0.25,305.0
41,6.31,18,13,22,1.8,1.4,2.9,200,0.25,295.0
42,6.29,18,13,22,1.8,1.4,2.9,200,0.25,295.0
43,6.28,18,13,22,1.8,1.4,2.9,200,0.25,295.0
