,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,11,22,2.1,1.2,3.1,200,0.0,300.0
1,7.26b,21,11,22,2.1,1.2,3.1,200,0.0,300.0
2,7.25,21,11,22,2.1,1.2,3.1,200,0.0,300.0
3,7.23e,21,11,22,2.1,1.2,3.1,200,0.0,295.0
4,7.23c,21,11,22,2.1,1.2,3.1,200,0.0,295.0
5,7.23,21,11,22,2.1,1.2,3.1,200,0.0,295.0
6,7.22f,21,11,22,2.1,1.2,3.1,200,0.0,295.0
7,7.22e,21,11,22,2.1,1.2,3.1,200,0.0,295.0
8,7.22d,21,11,22,2.1,1.2,3.1,200,0.0,295.0
9,7.22,21,11,22,2.1,1.2,3.1,200,0.0,295.0
10,7.21d,21,11,22,2.1,1.2,3.1,200,0.0,295.0
11,7.21,21,11,22,2.1,1.2,3.1,200,0.0,295.0
12,7.20,21,11,22,2.1,1.2,2.8,200,0.0,300.0
13,7.19d,21,11,22,2.1,1.2,2.8,200,1.5,300.0
14,7.19c,21,11,22,2.1,1.2,2.8,200,1.5,300.0
15,7.19,21,11,22,2.3,1.2,2.8,200,1.5,300.0
16,7.17,21,11,22,2.3,1.2,2.8,200,1.5,300.0
17,7.16,21,11,22,2.3,1.2,2.8,200,1.5,300.0
18,7.15,21,11,22,2.6,1.2,2.8,200,1.5,300.0
19,7.14,21,11,22,2.6,1.2,2.8,200,1.5,300.0
20,7.13b,21,11,22,2.6,1.2,2.8,200,1.5,300.0
21,7.12,21,11,22,2.6,1.2,2.8,200,1.5,300.0
22,7.10,21,11,22,2.6,1.2,2.8,200,1.5,300.0
23,7.07,21,11,22,2.6,1.2,2.8,200,1.5,300.0
24,7.06c,21,11,22,2.6,1.2,2.8,200,0.0,300.0
25,7.06,21,11,22,2.6,1.2,2.8,200,0.0,295.0
26,7.05,21,11,22,2.3,1.2,2.8,200,0.25,295.0
27,7.03,21,11,22,2.3,1.2,2.8,200,0.25,295.0
28,7.02,21,11,22,2.3,1.2,2.8,200,0.25,295.0
29,7.01,21,11,22,2.3,1.2,2.8,200,0.25,295.0
30,7.00,21,11,22,2.3,1.2,2.8,200,0.25,295.0
31,6.88b,21,11,22,2.3,1.2,2.8,200,0.25,295.0
32,6.88,21,11,22,2.3,1.2,2.8,200,0.25,295.0
33,6.87,21,11,22,2.3,1.2,2.8,200,0.25,295.0
34,6.84,21,11,22,2.3,1.2,2.8,200,0.25,295.0
35,6.82,21,11,22,2.3,1.2,2.8,200,0.25,295.0
36,6.81b,21,11,22,2.3,1.2,2.8,200,0.25,295.0
37,6.81,21,11,22,2.3,1.2,2.8,200,0.25,295.0
38,6.80,21,11,22,2.3,1.2,2.8,200,0.25,295.0
39,6.77,21,11,22,2.3,1.2,2.8,200,0.25,295.0
40,6.76,21,11,22,1.8,1.2,2.8,200,0.25,295.0
41,6.75,21,11,22,1.8,1.2,2.8,200,0.25,295.0
42,6.73,21,11,22,1.8,1.2,2.8,200,0.25,295.0
43,6.72c,21,11,22,1.8,1.2,2.8,200,0.25,295.0
44,6.72,21,11,22,1.8,1.2,2.8,200,0.25,295.0
45,6.71,21,11,22,1.8,1.2,2.8,200,0.25,295.0
46,6.70,21,11,22,1.8,1.2,2.8,200,0.25,295.0
47,6.68,21,11,22,1.8,1.2,2.8,200,0.25,295.0
48,6.67,21,11,22,1.8,1.2,2.8,200,0.25,295.0
49,6.63,21,11,22,1.8,1.2,2.8,200,0.25,295.0
50,6.60,21,11,22,1.8,1.2,2.8,200,0.25,295.0
51,6.41,21,11,22,1.8,1.2,2.8,200,0.25,295.0
52,6.36,21,11,22,1.8,1.2,2.8,200,0.25,295.0
53,6.35,21,11,22,1.8,1.2,2.8,200,0.25,295.0
54,6.33b,21,11,22,2.0,1.2,2.5,200,0.25,290.0
55,6.29b,21,11,22,2.0,1.2,2.5,200,0.25,290.0
56,6.28,21,11,22,2.0,1.2,2.5,200,0.25,290.0
57,6.17,21,11,22,2.0,1.2,2.5,200,0.25,290.0
58,6.10,21,11,22,2.0,1.2,2.5,200,0.25,290.0
59,6.00,21,11,22,2.0,1.2,2.5,200,0.25,290.0
60,5.80,21,11,22,2.0,1.2,2.5,200,0.25,300.0
61,5.79,21,11,22,2.0,1.2,2.5,200,0.25,300.0
62,5.75,21,11,22,2.0,1.2,2.5,200,0.25,300.0
63,5.72,21,11,22,2.0,1.2,2.5,200,0.25,300.0
64,5.71,21,11,22,2.0,1.2,2.5,200,0.25,300.0
65,5.61,21,11,22,2.0,1.2,2.5,200,0.25,300.0
66,5.58,21,11,22,2.0,1.2,2.5,200,0.25,300.0
67,5.57,21,11,22,2.0,1.2,2.25,200,0.25,300.0
68,5.56,21,11,22,2.0,1.2,2.25,200,0.25,300.0
69,5.55,21,11,22,2.0,1.2,2.25,200,0.25,300.0
70,5.53,21,11,22,2.4,1.2,2.5,200,0.25,300.0
71,5.52,21,11,22,2.4,1.2,2.5,200,0.25,300.0
72,5.51,21,11,22,2.4,1.2,2.5,200,0.25,300.0
73,5.50,21,11,22,2.4,1.2,2.5,200,0.25,300.0
74,5.40,21,11,22,2.4,1.2,2.5,200,0.25,300.0
75,5.36,21,11,22,2.4,1.2,2.5,200,0.25,300.0
76,5.35,21,11,22,2.4,1.2,2.5,200,0.25,300.0
77,5.32,21,11,22,2.4,1.2,2.75,200,0.25,300.0
78,5.31,21,11,22,2.4,1.2,2.75,200,0.25,300.0
79,5.10,21,11,22,2.4,1.2,2.75,200,0.25,300.0
80,4.1beta01,21,11,22,3.25,1.2,1.5,200,0.25,300.0
81,4.0beta9,21,11,22,3.25,1.2,1.5,200,0.25,300.0
82,4.0beta6,21,11,22,3.25,1.2,1.5,200,0.25,300.0
83,4.0beta5,21,11,22,3.25,1.2,1.5,200,0.25,300.0
84,4.0beta2,21,11,22,3.25,1.2,1.5,200,0.25,300.0
